PC,n_age,r_age,p_age,n_sex,r_sex,p_sex,lm_n,lm_beta_age_mid,lm_p_age_mid,lm_beta_sex_num,lm_p_sex_num,scope
PC1,1301,0.02979130935118437,0.28293052114617884,1301,0.044515107257518415,0.10851924546824164,1301,0.15226520442171723,1.4962444936658546e-6,1.910583329076356,0.028971458735713374,both_depots
PC2,1301,0.30443041590146636,2.657352010437924e-29,1301,0.20244704910830208,1.6861891174225088e-13,1301,0.6300857135986617,4.8033217006468024e-29,11.593813476647572,5.556184632056168e-14,both_depots
PC3,1301,0.08520506191433003,0.0020984400836589127,1301,-0.036013366177941375,0.19423504251680385,1301,0.130052179677122,0.002066833102285275,-1.611764838897958,0.1681989771664383,both_depots
PC4,1301,0.09301126652018449,7.824851387421302e-4,1301,-0.21196474048888123,1.1094445419931485e-14,1301,0.13933907198956227,2.0311535024386204e-4,-8.269683577542203,3.4567570529925205e-15,both_depots
PC5,1301,0.1282346653288309,3.482952719697485e-6,1301,-0.06960049127186715,0.012036280507280443,1301,0.15608310593586783,2.452277125587318e-6,-2.45447096587397,0.007395240693103228,both_depots
PC6,1301,0.01084624904857823,0.695905969745676,1301,-0.024763345702114633,0.37213744521475656,1301,0.016970782234132613,0.5794973489109645,-0.8724294178056545,0.3046242931384942,both_depots
PC7,1301,-8.278462964474266e-4,0.9762016728785479,1301,-0.6534243275933077,2.943588604717141e-159,1301,0.025746205740150636,0.2145878761463612,-17.987685037551774,2.071494824306601e-160,both_depots
PC8,1301,-0.01803314255095923,0.5157750047616803,1301,0.6108099066104327,6.981174033996211e-134,1301,-0.038905518859163706,0.0612633971365617,16.05251729560746,3.031295352713319e-134,both_depots
PC9,1301,0.017274953215817117,0.5335840058700567,1301,-0.251574583212631,3.1419245833553446e-20,1301,0.020826506925153823,0.3517176424496822,-5.806449840287073,3.352187856745338e-20,both_depots
PC10,1301,-0.06746172569396991,0.014943873335127257,1301,-0.16150539952174886,4.676323878994478e-9,1301,-0.04526864535543343,0.03214430920271885,-3.486141728796062,3.372599580491222e-9,both_depots
