PC	covar	n	r	p
PC1	SMRIN	1301	0.09599664307816834	5.25869537715166e-4
PC1	SMTSISCH	1301	0.05038584979667747	0.06924876245301359
PC2	SMRIN	1301	-0.34558474958971797	8.483826837507228e-38
PC2	SMTSISCH	1301	0.5458146703542263	6.8844730908298955e-102
PC3	SMRIN	1301	-0.04282351562151131	0.12262684402397217
PC3	SMTSISCH	1301	0.10615567306152364	1.249870649644037e-4
PC4	SMRIN	1301	-0.056723617638317715	0.04078923299522965
PC4	SMTSISCH	1301	0.10554331405025297	1.3680254987328552e-4
PC5	SMRIN	1301	-0.15243143810787452	3.292246017781759e-8
PC5	SMTSISCH	1301	0.037085798921894376	0.18127625295055125
PC6	SMRIN	1301	-0.3694097596922701	2.4532805104814127e-43
PC6	SMTSISCH	1301	0.2487246074201635	8.532370419367782e-20
PC7	SMRIN	1301	-0.031039981836021507	0.2632313515411517
PC7	SMTSISCH	1301	-0.15466209849963836	2.0589608847865993e-8
PC8	SMRIN	1301	-0.044802634397432574	0.1062542090436268
PC8	SMTSISCH	1301	-0.0738337410132885	0.007716841418226633
PC9	SMRIN	1301	-0.10559364480982293	1.3579311159321508e-4
PC9	SMTSISCH	1301	0.13612002015744593	8.307629909117858e-7
PC10	SMRIN	1301	0.07695093886441172	0.005485931241395929
PC10	SMTSISCH	1301	-0.0589354898091041	0.033539011082750605
PC11	SMRIN	1301	0.04583216312796659	0.09844959045109945
PC11	SMTSISCH	1301	0.04535578534871953	0.10200210686215394
PC12	SMRIN	1301	0.09332054309108508	7.51313655850496e-4
PC12	SMTSISCH	1301	-0.06006321440707328	0.030287024772866118
PC13	SMRIN	1301	-0.002074729389164016	0.9404038016777662
PC13	SMTSISCH	1301	-0.08721886357251123	0.001638815300526774
PC14	SMRIN	1301	-0.12052325991723385	1.3070695218663058e-5
PC14	SMTSISCH	1301	-0.024306272902751325	0.38103066837344335
PC15	SMRIN	1301	0.010959354234109235	0.692895304436428
PC15	SMTSISCH	1301	-0.0901057410422589	0.0011397104898297954
PC16	SMRIN	1301	0.016165146559017164	0.5602000580103996
PC16	SMTSISCH	1301	-0.07194850035305268	0.009431385977694511
PC17	SMRIN	1301	0.10056540720890955	2.80081546978937e-4
PC17	SMTSISCH	1301	-0.10642556543235489	1.200906038596116e-4
PC18	SMRIN	1301	-0.0036836294898940796	0.8943998306068384
PC18	SMTSISCH	1301	-0.06345496039686259	0.022085870862210148
PC19	SMRIN	1301	-0.006312082607834212	0.8200689368759445
PC19	SMTSISCH	1301	-0.05606159030735901	0.04320186777260819
PC20	SMRIN	1301	-0.09019997436495601	0.0011260811368618263
PC20	SMTSISCH	1301	0.011010553424395	0.6915340579505146
PC21	SMRIN	1301	0.008848713330994965	0.7498273442024737
PC21	SMTSISCH	1301	-0.03506933826647756	0.20619336350401732
PC22	SMRIN	1301	-0.07159281739274041	0.009790520075630499
PC22	SMTSISCH	1301	0.11867806649412431	1.7730683049963986e-5
PC23	SMRIN	1301	-0.14002996343363933	3.9585095866430446e-7
PC23	SMTSISCH	1301	0.04681916538792523	0.09140343348727366
PC24	SMRIN	1301	0.0309783763818611	0.2641804988774607
PC24	SMTSISCH	1301	-0.043252709491535514	0.11891866187959399
PC25	SMRIN	1301	0.06416094485998851	0.02064547614422345
PC25	SMTSISCH	1301	0.017010526900676292	0.5398672800702946
PC26	SMRIN	1301	0.0697254234964986	0.011883089991832695
PC26	SMTSISCH	1301	-0.054220235812276536	0.05055372831627289
PC27	SMRIN	1301	0.02779807052785851	0.3163972416181661
PC27	SMTSISCH	1301	-0.047229850262821754	0.08859350101178787
PC28	SMRIN	1301	0.004642041444808589	0.8671532777337042
PC28	SMTSISCH	1301	0.043372201658045624	0.11790204581747737
PC29	SMRIN	1301	0.0800820679778626	0.003847801546552988
PC29	SMTSISCH	1301	0.026146028941719458	0.3460259771365981
PC30	SMRIN	1301	-0.05047947720258132	0.06873256744374077
PC30	SMTSISCH	1301	-0.05004662712720161	0.07114569498004127
PC31	SMRIN	1301	0.003938405704468507	0.8871433186945434
PC31	SMTSISCH	1301	0.04026605611432444	0.14662281386430925
PC32	SMRIN	1301	0.03443555105849823	0.21451595494791065
PC32	SMTSISCH	1301	-0.04985212170843129	0.07225242551959463
PC33	SMRIN	1301	0.04769461049560543	0.0854979063173875
PC33	SMTSISCH	1301	0.13531398735183484	9.65488386096335e-7
PC34	SMRIN	1301	0.058589919336930356	0.03459341277651478
PC34	SMTSISCH	1301	0.004617452970930501	0.8678504750742653
PC35	SMRIN	1301	-0.028919312723963014	0.2972647553641218
PC35	SMTSISCH	1301	-0.06476395599687143	0.01948066124550023
PC36	SMRIN	1301	-0.004080306636647475	0.8831057636228883
PC36	SMTSISCH	1301	-0.037605684507617976	0.17522987521507646
PC37	SMRIN	1301	0.007944940262913388	0.7746498044591571
PC37	SMTSISCH	1301	0.066487056789844	0.016462563024289178
PC38	SMRIN	1301	-0.007360703495505522	0.7908212042966974
PC38	SMTSISCH	1301	-0.04243397080927596	0.1260700169472699
PC39	SMRIN	1301	0.03860364360939027	0.16404668271366155
PC39	SMTSISCH	1301	0.04304787378365207	0.12067731595006823
PC40	SMRIN	1301	0.018093947818757058	0.5143602197865378
PC40	SMTSISCH	1301	-0.0995454702005637	3.231145002658965e-4
PC41	SMRIN	1301	-0.002871968103762531	0.9175734968082644
PC41	SMTSISCH	1301	0.042817146293732185	0.12268254605204669
PC42	SMRIN	1301	0.02076888579375933	0.45416981604982587
PC42	SMTSISCH	1301	0.03997835269118534	0.14953260161949325
PC43	SMRIN	1301	-0.011384397780773343	0.6816249644239196
PC43	SMTSISCH	1301	-0.01868152004903724	0.500793441796334
PC44	SMRIN	1301	-0.011228789829921568	0.6857429561736444
PC44	SMTSISCH	1301	0.02046528927865389	0.46079528032933537
PC45	SMRIN	1301	-0.00452077534670593	0.8705927248310711
PC45	SMTSISCH	1301	-0.04308893614312165	0.12032314785117927
PC46	SMRIN	1301	0.0045186065493645145	0.8706542604732846
PC46	SMTSISCH	1301	0.022041115410135353	0.42699657675349656
PC47	SMRIN	1301	0.02691896453310561	0.33195039823365047
PC47	SMTSISCH	1301	-9.134670361699434e-4	0.9737411559180912
PC48	SMRIN	1301	-0.05089564463744494	0.06647619912714378
PC48	SMTSISCH	1301	-0.0047078177136546	0.8652887240541602
PC49	SMRIN	1301	0.021173020782340214	0.4454340953992175
PC49	SMTSISCH	1301	0.07092215390890502	0.010500946101507265
PC50	SMRIN	1301	0.012294266212545524	0.6577389567839129
PC50	SMTSISCH	1301	-0.01801113999064694	0.5162874452416084
PC51	SMRIN	1301	-0.04939702539819504	0.07489698638646326
PC51	SMTSISCH	1301	-0.02205240534424807	0.4267597529472916
PC52	SMRIN	1301	-0.069615147768508	0.012018218794774993
PC52	SMTSISCH	1301	-0.03668321569109498	0.1860636221018239
PC53	SMRIN	1301	0.013199335871212598	0.6343202432467003
PC53	SMTSISCH	1301	0.061882292103098126	0.02561168192819258
PC54	SMRIN	1301	0.0011847606520957899	0.9659466441090905
PC54	SMTSISCH	1301	-0.02102251675433195	0.44867613734567335
PC55	SMRIN	1301	0.009334091756959617	0.7366004747848451
PC55	SMTSISCH	1301	-0.053732927766795446	0.05266591621038832
PC56	SMRIN	1301	-0.01534772371180553	0.5802063722848549
PC56	SMTSISCH	1301	-0.013865770140405687	0.6173053599620444
PC57	SMRIN	1301	0.015316120516412722	0.5809865252320566
PC57	SMTSISCH	1301	0.02144051998632728	0.4397048774534338
PC58	SMRIN	1301	0.03638991035313205	0.1896098315204427
PC58	SMTSISCH	1301	-0.01674369177055993	0.5462450690358309
PC59	SMRIN	1301	-0.05762887347699496	0.037675573852465186
