model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
3group	peri_vs_pre	ENSG00000068976.14	PYGM	1840.8313507908636	-0.9240956896194283	0.22540222137594024	1.441299815839289e-6	0.00366784597679902
3group	peri_vs_pre	ENSG00000181856.15	SLC2A4	2923.067713321727	-0.5014701010299814	0.21950701259083338	6.049010978266965e-4	0.10517389087865041
3group	peri_vs_pre	ENSG00000169710.9	FASN	215554.66026821622	-0.006306981963156696	0.03045568777326437	0.0033539820174068027	0.2026220000762378
3group	peri_vs_pre	ENSG00000104812.15	GYS1	6538.312884940862	-0.015521485923650461	0.03528454429846381	0.009407955021609472	0.27404462530688234
3group	peri_vs_pre	ENSG00000169047.6	IRS1	2672.989446355733	-0.02023087253689119	0.03908487578692102	0.021208751325093304	0.3449718627793939
3group	peri_vs_pre	ENSG00000105221.18	AKT2	9645.012966092845	-0.02680551869019521	0.04596107527287258	0.028350806217639305	0.3826538661766524
3group	peri_vs_pre	ENSG00000170345.10	FOS	103629.7989733716	-0.008158066730416526	0.030975386771471183	0.02965608777809198	0.3873650368718392
3group	peri_vs_pre	ENSG00000175387.16	SMAD2	4781.666092715657	0.05578262209526328	0.04483425109618927	0.03146351336718399	0.39321931093528445
3group	peri_vs_pre	ENSG00000188778.6	ADRB3	74.45181074809807	-0.004938791820523054	0.030031422125817952	0.04355913754304908	0.43208725015630406
3group	peri_vs_pre	ENSG00000169252.6	ADRB2	1867.3547654540116	0.012938759445628997	0.03307022946395636	0.0459748445914993	0.44303956904037095
3group	peri_vs_pre	ENSG00000155846.17	PPARGC1B	1147.4311047563288	-0.013140904642157735	0.03298588802409441	0.05535336908165574	0.47181376762015537
3group	peri_vs_pre	ENSG00000115170.16	ACVR1	2243.838737816472	0.024793537770195655	0.03956252590851102	0.09090594101067374	0.5495769409146981
3group	peri_vs_pre	ENSG00000177666.17	PNPLA2	62775.60470494221	-0.012484683592157299	0.03312908550607417	0.09256361454907135	0.5519857191196994
3group	peri_vs_pre	ENSG00000111537.5	IFNG	24.579382626783058	0.003542518766394409	0.029749588302144688	0.10582323273737393	0.5730914594732653
3group	peri_vs_pre	ENSG00000211448.14	DIO2	115.10482949674879	-0.005061053290527319	0.029960251284946643	0.1398948563676866	0.6174402053432984
3group	peri_vs_pre	ENSG00000123689.6	G0S2	30247.758310315512	-0.004590209727276819	0.029833177024050448	0.18945108011519812	0.6699474590278854
3group	peri_vs_pre	ENSG00000166819.12	PLIN1	61801.29761033978	-0.004512859824236214	0.02981380241535453	0.1994131021013208	0.6815005453695853
