model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
3group	post_vs_pre	ENSG00000211448.14	DIO2	115.10482949674879	-0.7159183592556573	0.2905105443018957	4.1927945559339677e-4	0.0576249413823049
3group	post_vs_pre	ENSG00000068976.14	PYGM	1840.8313507908636	-0.5102799020084159	0.2623185620494397	0.001213710892978748	0.09317621746279879
3group	post_vs_pre	ENSG00000181856.15	SLC2A4	2923.067713321727	-0.02518648873881708	0.0507428346055042	0.004471381001266628	0.16393338102183613
3group	post_vs_pre	ENSG00000188778.6	ADRB3	74.45181074809807	-0.011024776142966458	0.040457637927711135	0.007950635552853627	0.20407436787841315
3group	post_vs_pre	ENSG00000169710.9	FASN	215554.66026821622	-0.008299092125180811	0.039441365357292424	0.02541788180674867	0.3224519868263249
3group	post_vs_pre	ENSG00000104812.15	GYS1	6538.312884940862	-0.020976399465710144	0.04569080283934352	0.037559243951758275	0.3655497065977119
3group	post_vs_pre	ENSG00000177666.17	PNPLA2	62775.60470494221	-0.0169671431970999	0.04301124429203975	0.04481537755049596	0.38800566068925046
3group	post_vs_pre	ENSG00000061273.18	HDAC7	11159.139249645696	-0.0494674834092853	0.05332095688282917	0.05533475508443006	0.41425847674614397
3group	post_vs_pre	ENSG00000043591.6	ADRB1	528.5025529550481	-0.014456292878039406	0.04158309162268702	0.05985056727201457	0.42603379355695903
3group	post_vs_pre	ENSG00000170345.10	FOS	103629.7989733716	-0.011995950854248923	0.04055480476398259	0.06020160466290807	0.4274516402831034
3group	post_vs_pre	ENSG00000123689.6	G0S2	30247.758310315512	-0.011039088450670882	0.040181754373808456	0.06568371718206023	0.4391131109440866
3group	post_vs_pre	ENSG00000155846.17	PPARGC1B	1147.4311047563288	-0.023762948305913422	0.047154238294048474	0.06697234775996384	0.441613081246987
3group	post_vs_pre	ENSG00000112715.26	VEGFA	25807.80528040188	-0.015876489562939407	0.042151220136118654	0.07131413547686888	0.4496334792065559
3group	post_vs_pre	ENSG00000169047.6	IRS1	2672.989446355733	-0.02243216479255729	0.04517422879326182	0.08545232006024576	0.4732346597051316
3group	post_vs_pre	ENSG00000074416.16	MGLL	19943.90222153906	-0.021333849635170272	0.04451005919884362	0.09752119567565945	0.49495172646045943
3group	post_vs_pre	ENSG00000109424.4	UCP1	73.08908569783364	-8.031250992894028e-4	0.03817844024152608	0.10637617725455888	0.5102879313214503
3group	post_vs_pre	ENSG00000150594.7	ADRA2A	5901.199449338279	-0.010695540703716894	0.03971567331850499	0.11517227377246086	0.5254904318090878
3group	post_vs_pre	ENSG00000173757.10	STAT5B	8626.205630453165	-0.033106608926410624	0.03788744990833184	0.14882413862348196	0.572173173769347
3group	post_vs_pre	ENSG00000170323.9	FABP4	190072.82304252734	-0.012605851225667031	0.04021254357034071	0.1545744445393753	0.5809608559033883
3group	post_vs_pre	ENSG00000115170.16	ACVR1	2243.838737816472	0.02778761813928213	0.04281095930371604	0.16927704482182784	0.595868369253326
3group	post_vs_pre	ENSG00000105221.18	AKT2	9645.012966092845	-0.019303528228761524	0.04069208110081661	0.216949282150781	0.6439831796002907
3group	post_vs_pre	ENSG00000079435.10	LIPE	36808.265738280636	-0.007375636524961003	0.038798350950302346	0.2353004063800288	0.6613974336631792
3group	post_vs_pre	ENSG00000166819.12	PLIN1	61801.29761033978	-0.006816855583487365	0.0386948420639397	0.25022600673497347	0.6736791275180167
