model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
bins_40-49_50-59	50-59_vs_40-49	ENSG00000109424.4	UCP1	95.78222324665248	-2.4957261143148266e-6	0.0014426942389242632	0.018971197551595195	0.403517785676109
bins_40-49_50-59	50-59_vs_40-49	ENSG00000068976.14	PYGM	1413.0796077436482	-9.199971183943187e-6	0.0014426800693395228	0.04359161804279471	0.5226031172568824
bins_40-49_50-59	50-59_vs_40-49	ENSG00000181856.15	SLC2A4	2650.1296900506104	-8.859708689670785e-6	0.0014426769020631513	0.06376809091155955	0.578237242022581
bins_40-49_50-59	50-59_vs_40-49	ENSG00000169710.9	FASN	183839.09964482664	-5.181705286415252e-6	0.0014426868841297693	0.0840317073737493	0.6147200966941356
bins_40-49_50-59	50-59_vs_40-49	ENSG00000115170.16	ACVR1	2223.6814604613405	2.252150287931371e-5	0.0014425417851118769	0.08843976232611048	0.6214085507570938
bins_40-49_50-59	50-59_vs_40-49	ENSG00000136856.18	SLC2A8	946.5356466057432	2.4970733850398438e-5	0.0014424915808775197	0.09595666731753706	0.6323822609211097
bins_40-49_50-59	50-59_vs_40-49	ENSG00000109819.9	PPARGC1A	580.7889565376888	-1.0699735077730387e-5	0.0014426412521531006	0.14040496313531245	0.6910056919874618
bins_40-49_50-59	50-59_vs_40-49	ENSG00000170345.10	FOS	96922.54724875528	-5.254825323549351e-6	0.0014426800005323717	0.16559910059067243	0.7178997726609732
bins_40-49_50-59	50-59_vs_40-49	ENSG00000169252.6	ADRB2	1963.6636157605342	7.474007182308183e-6	0.0014426634505247766	0.17292038132300408	0.7252924405724726
bins_40-49_50-59	50-59_vs_40-49	ENSG00000170323.9	FABP4	198694.67699593212	7.089691945517253e-6	0.0014426659121298895	0.17444694781891695	0.7270157099735604
bins_40-49_50-59	50-59_vs_40-49	ENSG00000174697.5	LEP	15326.825182151213	3.41593635227225e-6	0.0014426879443424638	0.18682151566078276	0.7400477080911452
bins_40-49_50-59	50-59_vs_40-49	ENSG00000108840.16	HDAC5	4975.287314607495	-1.750824475274993e-5	0.0014425023010619575	0.18738122054775191	0.7402022060168967
bins_40-49_50-59	50-59_vs_40-49	ENSG00000150594.7	ADRA2A	5598.284763517155	5.727761644291405e-6	0.0014426727187314813	0.20581117368093263	0.7541336785942481
bins_40-49_50-59	50-59_vs_40-49	ENSG00000177606.8	JUN	49785.2356513075	3.343411760178633e-6	0.0014426632624761659	0.21081811470297326	0.7583312983266711
bins_40-49_50-59	50-59_vs_40-49	ENSG00000188778.6	ADRB3	71.48879922690006	-3.15541585522834e-6	0.0014426877986485817	0.21663856346528812	0.7607368083925181
bins_40-49_50-59	50-59_vs_40-49	ENSG00000104812.15	GYS1	5961.556413419624	-6.298732815350348e-6	0.0014426590713793677	0.253285938523324	0.7923076335649863
bins_40-49_50-59	50-59_vs_40-49	ENSG00000211448.14	DIO2	102.39485296920587	4.108442622284631e-6	0.0014426794495979653	0.2642006643241131	0.7983832582564853
bins_40-49_50-59	50-59_vs_40-49	ENSG00000274286.2	ADRA2B	899.0937841739002	-5.648808437617535e-6	0.0014426535496552086	0.32947604260239166	0.8374072199161843
bins_40-49_50-59	50-59_vs_40-49	ENSG00000011198.10	ABHD5	4905.273928226586	5.333611026684599e-6	0.0014426476950661377	0.3847245881989313	0.8676387464718357
bins_40-49_50-59	50-59_vs_40-49	ENSG00000105221.18	AKT2	9154.667295937881	3.2398468181577813e-4	0.001461552583409268	0.40897184368007505	0.873121460807967
bins_40-49_50-59	50-59_vs_40-49	ENSG00000123358.20	NR4A1	57038.80635413831	-3.1781253532018997e-6	0.001442675357628549	0.4170321591222716	0.8734190705546647
bins_40-49_50-59	50-59_vs_40-49	ENSG00000169047.6	IRS1	2518.000440643638	-5.878007023384196e-6	0.0014426140125296991	0.4565314735410616	0.8868927291908714
bins_40-49_50-59	50-59_vs_40-49	ENSG00000184160.8	ADRA2C	1108.8246488633965	-3.5469064489661457e-6	0.0014426654089367797	0.4562997493470878	0.8868927291908714
bins_40-49_50-59	50-59_vs_40-49	ENSG00000155846.17	PPARGC1B	1100.9135898270702	-5.197062213471756e-6	0.0014426270218617894	0.47207405954668813	0.8898282322538899
