score	n	peri_vs_pre_est	peri_vs_pre_p	post_vs_pre_est	post_vs_pre_p	post_vs_peri_est	post_vs_peri_p	n_pre	n_peri	n_post
z_menopause_all	233	0.13433463105352617	0.035436911790218864	0.2999165527276095	5.16181113115998e-6	0.1655819216740833	0.009853989675406363	78	76	79
z_menopause_up	233	0.1843848903128697	0.011090703951852467	0.37684033070393835	5.044510244456546e-7	0.19245544039106866	0.008193110209002244	78	76	79
z_menopause_down	233	-0.33041777635466185	1.951158538232726e-6	-0.41437567133829906	5.737693329606518e-9	-0.0839578949836372	0.2167571712817103	78	76	79
z_menopause_signed	233	0.5148026666675315	6.721813832653128e-6	0.7912160020422373	2.7929804699556826e-11	0.2764133353747058	0.014247583664442304	78	76	79
gsva__menopause_all	233	0.1374628224057308	0.0010609650953697064	0.1899650016636226	9.516429806291835e-6	0.0525021792578918	0.20749545906996247	78	76	79
gsva__menopause_up	233	0.17578365518191078	2.1100424985718913e-4	0.23831964383903162	9.177526369473096e-7	0.06253598865712084	0.18252051297414945	78	76	79
gsva__menopause_down	233	-0.21767471309794711	1.5515810090385417e-4	-0.29660079120324584	4.845876133830966e-7	-0.07892607810529872	0.16525781699341865	78	76	79
ssgsea__menopause_all	233	0.045764239079696706	0.012373835351379241	0.08141980565224428	1.439771807666987e-5	0.03565556657254758	0.05116574487763695	78	76	79
ssgsea__menopause_up	233	0.06087360474926527	0.003202457990943307	0.10238520910001968	1.4243773984044763e-6	0.041511604350754405	0.043776953144818796	78	76	79
ssgsea__menopause_down	233	-0.08839329570321741	7.983699013085658e-4	-0.10704789495893129	6.52116009152454e-5	-0.018654599255713875	0.4748166222713953	78	76	79
plage__menopause_all	233	-0.02130653042978212	0.03898091362099761	-0.04790250633607394	6.587359719381179e-6	-0.026595975906291817	0.010315940066156543	78	76	79
plage__menopause_up	233	-0.018185886146079647	0.07864416262297207	-0.045404427096041	1.974468961835819e-5	-0.027218540949961352	0.008900058528198817	78	76	79
plage__menopause_down	233	0.047483664945503885	1.0793247991678432e-6	0.04934003916236969	5.685463917834138e-7	0.001856374216865804	0.8451321209000786	78	76	79
zscore__menopause_all	233	1.1398671427936962	0.03543691179021879	2.5448763386854245	5.16181113116001e-6	1.4050091958917283	0.0098539896754064	78	76	79
zscore__menopause_up	233	1.4865585105941108	0.01109070395185252	3.038183876089215	5.044510244456546e-7	1.5516253654951042	0.008193110209002206	78	76	79
zscore__menopause_down	233	-0.8742032649893928	1.951158538232741e-6	-1.0963349757165737	5.737693329606647e-9	-0.22213171072718085	0.21675717128171115	78	76	79
