depot	module	model	contrast	n	estimate	se	t	p	conf_low	conf_high
visceral	camp_pka_feedback	base	peri_vs_pre	180	-0.037023739812612644	0.11632677275536844	-0.31827359201713956	0.7506547606608673	-0.2650242144131348	0.1909767347879095
visceral	camp_pka_feedback	base	post_vs_pre	180	0.07068025246162404	0.11705943718612873	0.6037979863959186	0.5467553956997957	-0.15875624442318825	0.30011674934643634
visceral	camp_pka_feedback	adj_comp	peri_vs_pre	180	-0.07957267837931548	0.1156788292724424	-0.6878758963916286	0.49245218804181623	-0.30630318375330257	0.14715782699467161
visceral	camp_pka_feedback	adj_comp	post_vs_pre	180	0.04278782561780405	0.11708323979995847	0.36544791287727274	0.7152235069085686	-0.18669532439011452	0.2722709756257226
visceral	camp_pka_feedback	adj_comp_tech	peri_vs_pre	180	-0.07227584277704692	0.11746287831428574	-0.6153079493222054	0.5391693836735358	-0.30250308427304695	0.15795139871895314
visceral	camp_pka_feedback	adj_comp_tech	post_vs_pre	180	0.03951460512754754	0.11841430698708617	0.33369789625046625	0.739016384287609	-0.19257743656714135	0.27160664682223645
visceral	receptor_desensitization	base	peri_vs_pre	180	0.07533603774327746	0.11943062409478068	0.6307933020888381	0.5289939435162707	-0.15874798548249267	0.3094200609690476
visceral	receptor_desensitization	base	post_vs_pre	180	-0.06681099337319106	0.12018283760629762	-0.5559112657337535	0.5789775313547081	-0.3023693550815344	0.1687473683351523
visceral	receptor_desensitization	adj_comp	peri_vs_pre	180	-0.06215972472813031	0.08809652110995113	-0.7055865991637771	0.4813942593167081	-0.23482890610363452	0.11050945664737391
visceral	receptor_desensitization	adj_comp	post_vs_pre	180	-0.15129601124038775	0.08916606583531282	-1.6967891296205349	0.09153496712640317	-0.32606150027760084	0.023469477796825372
visceral	receptor_desensitization	adj_comp_tech	peri_vs_pre	180	-0.018691143695853743	0.08612666716731755	-0.21701923818255517	0.82845206117195	-0.18749941134379616	0.15011712395208865
visceral	receptor_desensitization	adj_comp_tech	post_vs_pre	180	-0.10335925898879614	0.08682427803648488	-1.1904419054928739	0.23552274086877062	-0.27353484394030647	0.06681632596271422
visceral	alpha2_antilipolytic_axis	base	peri_vs_pre	180	-0.05581924697433097	0.09439290332587201	-0.5913500380598163	0.5550446497012362	-0.2408293374930401	0.12919084354437818
visceral	alpha2_antilipolytic_axis	base	post_vs_pre	180	-0.10190065614502963	0.0949874210034878	-1.0727805331327818	0.28483832178136914	-0.2880760013118657	0.08427468902180643
visceral	alpha2_antilipolytic_axis	adj_comp	peri_vs_pre	180	-0.064457083345115615	0.07151806190342729	-0.9012699957131627	0.3686977721217738	-0.20463248467583312	0.07571831798560187
visceral	alpha2_antilipolytic_axis	adj_comp	post_vs_pre	180	-0.06275906221134442	0.07238633416790677	-0.8670015263622688	0.3871421062349075	-0.2046362771804417	0.07911815275775286
visceral	alpha2_antilipolytic_axis	adj_comp_tech	peri_vs_pre	180	-0.046292253806495265	0.06929373016692757	-0.6680583321893324	0.5049970516374882	-0.1821079649336733	0.08952345732068276
visceral	alpha2_antilipolytic_axis	adj_comp_tech	post_vs_pre	180	-0.03196613115752087	0.06985499720441418	-0.4576069348908501	0.6478157528396031	-0.16888192567817267	0.10494966336313094
visceral	camp_core	base	peri_vs_pre	180	0.027586004380925185	0.08738660304431346	0.315677728849769	0.752621150376867	-0.1436917375859292	0.19886374634777956
visceral	camp_core	base	post_vs_pre	180	-0.12687543163346615	0.08793699272898373	-1.4427993009095528	0.15085436222348475	-0.29923193738227427	0.04548107411534194
visceral	camp_core	adj_comp	peri_vs_pre	180	0.038058130506278945	0.06132251424723284	0.6206224740368714	0.5356647948613141	-0.08213399741829742	0.15825025843085533
visceral	camp_core	adj_comp	post_vs_pre	180	-0.02777665492889665	0.06206700643412848	-0.44752689914851823	0.6550545213103509	-0.14942798753978845	0.09387467768199516
visceral	camp_core	adj_comp_tech	peri_vs_pre	180	0.03922378526210635	0.0626139516937316	0.6264384246815253	0.5318627717805373	-0.08349956005760759	0.16194713058182028
visceral	camp_core	adj_comp_tech	post_vs_pre	180	-0.027526095907837878	0.06312111369941108	-0.4360838124453862	0.6633259608162174	-0.1512434787586836	0.09619128694300784
visceral	immediate_early	base	peri_vs_pre	180	-0.11056840103441107	0.13890149152146503	-0.7960202574018038	0.42709261132060616	-0.3828153244164825	0.1616785223476604
visceral	immediate_early	base	post_vs_pre	180	0.1026517188286062	0.13977633898612687	0.7343998245568202	0.4636824027247143	-0.1713099055842025	0.3766133432414149
visceral	immediate_early	adj_comp	peri_vs_pre	180	-0.1362248934954221	0.1403489934604424	-0.9706153933609599	0.3330949096056828	-0.4113089206778892	0.138859133687045
visceral	immediate_early	adj_comp	post_vs_pre	180	0.08790216769146432	0.1420529146116317	0.6187987619387194	0.536862875728245	-0.1905215449473338	0.3663258803302624
visceral	immediate_early	adj_comp_tech	peri_vs_pre	180	-0.11290829079245915	0.14271987960189322	-0.7911181757398384	0.42997094155437343	-0.3926392548121699	0.16682267322725156
visceral	immediate_early	adj_comp_tech	post_vs_pre	180	0.10043360218912736	0.1438758855467548	0.6980572304209369	0.4860895481835723	-0.18156313348251205	0.38243033786076674
