depot	set_name	model	contrast	n	estimate	se	t	p	conf_low	conf_high
subcutaneous	acute_beta_adrenergic	base	peri_vs_pre	233	0.01376354763137719	0.11978204784983047	0.11490492839655245	0.9086216067564091	-0.22100926615429053	0.2485363614170449
subcutaneous	acute_beta_adrenergic	base	post_vs_pre	233	0.16985012194830654	0.12118659759997451	1.4015586319946511	0.1624068810092918	-0.0676756093476435	0.40737585324425657
subcutaneous	acute_beta_adrenergic	adj_comp	peri_vs_pre	233	-0.1292781832161717	0.11222418395889573	-1.1519636735654262	0.25055853368650594	-0.3492375837756073	0.09068121734326393
subcutaneous	acute_beta_adrenergic	adj_comp	post_vs_pre	233	-0.02143400047117773	0.1150171772881083	-0.18635477740413828	0.8523344627741998	-0.24686766795587	0.20399966701351452
subcutaneous	acute_beta_adrenergic	adj_comp_tech	peri_vs_pre	233	-0.14697864943879183	0.10564052611518819	-1.3913093283777234	0.16551808538006452	-0.35403408062456065	0.06007678174697703
subcutaneous	acute_beta_adrenergic	adj_comp_tech	post_vs_pre	233	-0.07659609832660477	0.10869870169737254	-0.7046643348128991	0.48175443087858494	-0.28964555365345496	0.1364533570002454
subcutaneous	adrenergic_receptors	base	peri_vs_pre	233	-0.025527703298315527	0.0776453161379012	-0.32877325469288193	0.7426288562792844	-0.17771252292860187	0.12665711633197083
subcutaneous	adrenergic_receptors	base	post_vs_pre	233	-0.08457011736726652	0.07855577568788373	-1.0765614192809814	0.28281404671468696	-0.23853943771551864	0.06939920298098559
subcutaneous	adrenergic_receptors	adj_comp	peri_vs_pre	233	0.083522979332834	0.06767997637019918	1.2340870049359356	0.21845792821620397	-0.04912977435275641	0.2161757330184244
subcutaneous	adrenergic_receptors	adj_comp	post_vs_pre	233	0.05172733189430494	0.06936437019561979	0.7457334615512937	0.45660679935519766	-0.08422683368910987	0.18768149747771973
subcutaneous	adrenergic_receptors	adj_comp_tech	peri_vs_pre	233	0.08495721148384819	0.0679677391157265	1.2499637708883367	0.21262294853712482	-0.048259557182975754	0.21817398015067213
subcutaneous	adrenergic_receptors	adj_comp_tech	post_vs_pre	233	0.04657057334658958	0.0699353294693882	0.665909114891269	0.5061574337411396	-0.0905026724134113	0.18364381910659044
subcutaneous	lipolysis_core	base	peri_vs_pre	233	-0.3884612249672164	0.1262672793450954	-3.0764995253087744	0.0023505580002485616	-0.6359450924836034	-0.14097735745082943
subcutaneous	lipolysis_core	base	post_vs_pre	233	-0.45850013101779685	0.1277478741323699	-3.5891018471486094	4.0617252967492686e-4	-0.7088859643172418	-0.20811429771835183
subcutaneous	lipolysis_core	adj_comp	peri_vs_pre	233	-0.026597745560701797	0.028788071172708624	-0.9239155135171655	0.35652007210451175	-0.0830223650592107	0.029826873937807107
subcutaneous	lipolysis_core	adj_comp	post_vs_pre	233	0.005786871432996658	0.029504537872753613	0.19613496262690586	0.8446815599944387	-0.052042022797600423	0.06361576566359374
subcutaneous	lipolysis_core	adj_comp_tech	peri_vs_pre	233	-0.02094536376653059	0.028058540421034946	-0.7464880015935631	0.45615892941852587	-0.07594010299175909	0.034049375458697906
subcutaneous	lipolysis_core	adj_comp_tech	post_vs_pre	233	0.006203108272342434	0.02887080391822521	0.21485748335627783	0.8300747917511374	-0.050383667407378985	0.06278988395206385
subcutaneous	thermogenesis_program	base	peri_vs_pre	233	-0.1719138539542063	0.06485821363474742	-2.6506103748454835	0.008597706771401299	-0.29903595267831123	-0.04479175523010137
subcutaneous	thermogenesis_program	base	post_vs_pre	233	-0.1761539717583863	0.06561873317328196	-2.6845073539169007	0.00779694476275963	-0.30476668877801893	-0.04754125473875365
subcutaneous	thermogenesis_program	adj_comp	peri_vs_pre	233	-0.08321549624239301	0.05867918637205942	-1.418143321121725	0.15753243326958913	-0.19822670153162947	0.03179570904684345
subcutaneous	thermogenesis_program	adj_comp	post_vs_pre	233	-0.06305968556345079	0.06013957191748527	-1.048555610771092	0.2955076996072047	-0.18093324652172194	0.05481387539482034
subcutaneous	thermogenesis_program	adj_comp_tech	peri_vs_pre	233	-0.07463830665775646	0.05796461423718447	-1.2876529524089504	0.1992014890361769	-0.18824895056263802	0.038972337247125094
subcutaneous	thermogenesis_program	adj_comp_tech	post_vs_pre	233	-0.057542012240398836	0.05964262526580816	-0.9647800039644875	0.33570008150391806	-0.17444155776138281	0.05935753328058515
