depot	set_name	model	contrast	n	estimate	se	t	p	conf_low	conf_high
visceral	acute_beta_adrenergic	base	peri_vs_pre	180	-0.0876628478253025	0.1363450274894624	-0.6429486240858885	0.5210941887252012	-0.3548991017046488	0.17957340605404382
visceral	acute_beta_adrenergic	base	post_vs_pre	180	0.09730313116551503	0.13720377349939974	0.7091869901518468	0.4791468378642205	-0.17161626489330845	0.3662225272243385
visceral	acute_beta_adrenergic	adj_comp	peri_vs_pre	180	-0.11147525247403631	0.1379846163992765	-0.80788174350877	0.42026811449963664	-0.3819251006166182	0.15897459566854563
visceral	acute_beta_adrenergic	adj_comp	post_vs_pre	180	0.08645474963868553	0.13965983259160164	0.6190380443280328	0.5367056026229347	-0.18727852224085367	0.36018802151822477
visceral	acute_beta_adrenergic	adj_comp_tech	peri_vs_pre	180	-0.08193310040293132	0.1402766152890953	-0.5840823877456399	0.5599345947024643	-0.35687526636955813	0.19300906556369546
visceral	acute_beta_adrenergic	adj_comp_tech	post_vs_pre	180	0.10806868603250641	0.14141283122237375	0.764207074410149	0.4457970741975771	-0.16910046316334615	0.38523783522835897
visceral	adrenergic_receptors	base	peri_vs_pre	180	-0.01756306474062965	0.0892707143774834	-0.19673937710819475	0.8442584944588485	-0.19253366492049714	0.15740753543923783
visceral	adrenergic_receptors	base	post_vs_pre	180	-0.13719829971058292	0.08983297081754203	-1.52725996326275	0.12849151379059626	-0.3132709225129653	0.038874323091799445
visceral	adrenergic_receptors	adj_comp	peri_vs_pre	180	-0.008830060771311916	0.06550088970672262	-0.1348082569694569	0.8929201905838667	-0.13721180459648824	0.11955168305386442
visceral	adrenergic_receptors	adj_comp	post_vs_pre	180	-0.06739141595853636	0.06629610988352037	-1.0165214230056694	0.31080066068813506	-0.19733179133023626	0.06254895941316356
visceral	adrenergic_receptors	adj_comp_tech	peri_vs_pre	180	-0.007696591008321305	0.06536994428538091	-0.1177389868151156	0.9064126561888574	-0.1358216818076679	0.12042849979102528
visceral	adrenergic_receptors	adj_comp_tech	post_vs_pre	180	-0.0558371104712335	0.065899429346747	-0.8473079512939635	0.39800782666609247	-0.18499999199085762	0.07332577104839064
visceral	lipolysis_core	base	peri_vs_pre	180	-0.008661475654856036	0.14172652938160082	-0.06111400379765796	0.9513377599001103	-0.2864454732427936	0.26912252193308156
visceral	lipolysis_core	base	post_vs_pre	180	-0.17292913026399487	0.142619169867651	-1.2125237471545458	0.22693703762458542	-0.4524627032045908	0.10660444267660107
visceral	lipolysis_core	adj_comp	peri_vs_pre	180	-0.003200618217553922	0.03521294940681301	-0.09089321603190291	0.9276825949332549	-0.07221799905490742	0.06581676261979957
visceral	lipolysis_core	adj_comp	post_vs_pre	180	0.01865550241160397	0.035640455780821576	0.5234361346647719	0.6013406191517021	-0.05119979091880631	0.08851079574201426
visceral	lipolysis_core	adj_comp_tech	peri_vs_pre	180	-0.0021465557899464534	0.0359518337434427	-0.05970643403795687	0.9524591670022513	-0.07261214992709414	0.06831903834720124
visceral	lipolysis_core	adj_comp_tech	post_vs_pre	180	0.01993461035074623	0.036243037279011986	0.5500259318026357	0.5830192944714193	-0.05110174271611727	0.09097096341760973
visceral	thermogenesis_program	base	peri_vs_pre	180	-0.18209540980304437	0.08726155432941451	-2.0867770600971616	0.038349324434418075	-0.3531280562886968	-0.011062763317391922
visceral	thermogenesis_program	base	post_vs_pre	180	-0.20598210391023564	0.08781115641598206	-2.3457395656475595	0.02010333078853967	-0.3780919704855604	-0.03387223733491082
visceral	thermogenesis_program	adj_comp	peri_vs_pre	180	-0.16894393462467064	0.07097212227728243	-2.380426697184285	0.018380009171769594	-0.3080492942881442	-0.029838574961197073
visceral	thermogenesis_program	adj_comp	post_vs_pre	180	-0.14602932874907176	0.07183376650650977	-2.0328786286855527	0.0435932944608337	-0.2868235111018309	-0.005235146396312618
visceral	thermogenesis_program	adj_comp_tech	peri_vs_pre	180	-0.13511805728791357	0.07037948001985284	-1.9198501786287578	0.056541432948323374	-0.27306183812682516	0.0028257235509979994
visceral	thermogenesis_program	adj_comp_tech	post_vs_pre	180	-0.1254913534893614	0.07094954144035125	-1.7687408676892522	0.07871996452461143	-0.2645524547124498	0.013569747733727017
