design	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000123689.6	G0S2	30726.471858239005	-0.5255834461434504	0.391627224643301	-1.3420503301887616	0.17957967718213363	0.9784551674312695
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000011198.10	ABHD5	5120.230651788466	-0.36752128802357253	0.23400847464117283	-1.5705469153932456	0.11628792873219221	0.9784551674312695
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000153234.15	NR4A2	2281.4537120987075	-0.46719705005180745	0.2628277052234852	-1.7775791545816861	0.07547299993032403	0.9784551674312695
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000119508.18	NR4A3	1525.4835824931918	-0.6588157691920089	0.31259903734779293	-2.1075425400591383	0.0350705783070986	0.9784551674312695
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000170323.9	FABP4	223181.808107553	-0.3029799818551216	0.2816289577177381	-1.0758126021926429	0.2820110750171378	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000166819.12	PLIN1	91553.68304405057	-0.370264402103912	0.27957102752832264	-1.3244019073700384	0.1853696014748476	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000175445.17	LPL	81258.79379572102	-0.3540557977246848	0.28438239039619834	-1.2449990213227278	0.21313210998139423	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000177666.17	PNPLA2	64916.33420973936	-0.26769793251334567	0.22531104171319855	-1.1881261143610617	0.23478372729129807	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000079435.10	LIPE	58266.87982124507	-0.2646992702260652	0.29984865460926013	-0.8827762478074184	0.3773571761453712	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000123358.20	NR4A1	16439.87231209483	-0.2954622529322792	0.27715808963161587	-1.0660423201970841	0.2864045116242183	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000176194.18	CIDEA	8385.556501566794	-0.3410390461839483	0.37040852576802574	-0.9207105734859069	0.3572015543708406	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000155846.17	PPARGC1B	1059.4198557391687	-0.15228432525379781	0.17411014251473125	-0.8746436195749666	0.3817678460897475	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000211448.14	DIO2	271.9448995837112	0.3510456613263832	0.3452726054805698	1.016720283492454	0.309286513742366	0.9828506927415521
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000074416.16	MGLL	33450.04494615601	-0.13542937283739492	0.1571139712408657	-0.8619817306366286	0.3886975713245363	0.9852442058956574
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000177606.8	JUN	43602.119452865656	0.008438715586395137	0.2657992739232808	0.031748452363458496	0.9746726549442367	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000170345.10	FOS	20336.72739187097	-0.16276240329673308	0.2879535703266588	-0.5652383580870103	0.5719116496739591	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000112715.26	VEGFA	18731.21683325683	-0.13269220272679674	0.2722569180246811	-0.48737862637072715	0.6259900373699467	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000120738.8	EGR1	14732.499936952558	-0.05579174082665578	0.36584204824579264	-0.15250226455426974	0.8787908044731723	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000150594.7	ADRA2A	9970.18636199093	-0.06204142208390978	0.19526584078126752	-0.3177279847600544	0.7506912815904159	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000169252.6	ADRB2	3025.801924549207	-0.03800367684837868	0.22699424148604694	-0.16742132575515015	0.8670385464625977	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000274286.2	ADRA2B	966.9849545177515	-0.10683585324614853	0.21491312776261637	-0.4971118067955101	0.6191102091018692	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000184160.8	ADRA2C	1516.9556376984808	0.03738301241631461	0.19995113039561246	0.18696074556993306	0.8516914106982532	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000109819.9	PPARGC1A	575.636864013205	-0.1105804899841215	0.22235974386548782	-0.49730444936568646	0.618974374607868	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000109424.4	UCP1	2.1429055394015157	-1.4204755493441206	2.6188093264340213	-0.542412742694159	0.5875342032871749	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000188778.6	ADRB3	21.702153148884115	-0.19664711264406368	0.6645531419751572	-0.29590878475060295	0.7672997420908728	0.9974335383520323
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + SMGEBTCH + group	ENSG00000043591.6	ADRB1	302.93048906927606	-0.10057184516314892	0.3858879902001379	-0.26062444988502514	0.7943821328566096	0.9974335383520323
~SMCENTER + group	ENSG00000176194.18	CIDEA	8385.556501566794	-0.6592328131755915	0.2163384997345981	-3.0472283665844575	0.0023096216773138925	0.07754633878214179
~SMCENTER + group	ENSG00000011198.10	ABHD5	5120.230651788466	-0.4267459164646252	0.14190726096642944	-3.0072169215187596	0.002636515519185021	0.08142212167309468
~SMCENTER + group	ENSG00000120738.8	EGR1	14732.499936952558	0.7119948968555545	0.23921726423373305	2.97635247663347	0.002916993859045454	0.08447657067432635
~SMCENTER + group	ENSG00000166819.12	PLIN1	91553.68304405057	-0.5041606255688167	0.17432048067596248	-2.892147977184512	0.0038261768860065474	0.09331303032439849
~SMCENTER + group	ENSG00000123689.6	G0S2	30726.471858239005	-0.47545686251631025	0.19202177390444283	-2.476057026495939	0.01328423580569756	0.1532219386341869
~SMCENTER + group	ENSG00000177606.8	JUN	43602.119452865656	0.41335196153422255	0.1767592135853167	2.338503058199618	0.019361167212495953	0.17479361449207537
~SMCENTER + group	ENSG00000177666.17	PNPLA2	64916.33420973936	-0.31397403776982313	0.13583061362572343	-2.31151159071524	0.020804613693029946	0.17880395887137465
~SMCENTER + group	ENSG00000175445.17	LPL	81258.79379572102	-0.39943076530303345	0.17310701014873764	-2.3074210857193655	0.021031356869833345	0.17960925326815863
~SMCENTER + group	ENSG00000150594.7	ADRA2A	9970.18636199093	-0.2459341682038111	0.11650654374082839	-2.1109043347032728	0.03478053543477326	0.21993864707342606
~SMCENTER + group	ENSG00000079435.10	LIPE	58266.87982124507	-0.3821810576167743	0.18312464649907148	-2.0869995651771105	0.03688817385199155	0.22434966280702553
~SMCENTER + group	ENSG00000170323.9	FABP4	223181.808107553	-0.28768294473337935	0.1590209895324333	-1.8090878794003773	0.07043735179060087	0.2872578190328831
~SMCENTER + group	ENSG00000074416.16	MGLL	33450.04494615601	-0.10782074829660548	0.09388336603117964	-1.1484542241572069	0.2507810998537387	0.5243146082525426
~SMCENTER + group	ENSG00000170345.10	FOS	20336.72739187097	0.24034328984304348	0.21395589385734007	1.1233310076669252	0.2612969393189165	0.5372808710324366
~SMCENTER + group	ENSG00000112715.26	VEGFA	18731.21683325683	-0.20238563515837904	0.18442272684265712	-1.0974007305024138	0.27246625423504806	0.5462697661595932
~SMCENTER + group	ENSG00000123358.20	NR4A1	16439.87231209483	0.0990927597250229	0.1672056691429005	0.5926399519404714	0.5534221357400326	0.7725706692451393
~SMCENTER + group	ENSG00000169252.6	ADRB2	3025.801924549207	0.036688684497460815	0.13803964960271936	0.26578366869990994	0.7904058214700067	0.9054847714059296
~SMCENTER + group	ENSG00000274286.2	ADRA2B	966.9849545177515	0.27940539886722754	0.1464267398581198	1.9081582990781425	0.056370759550017725	NA
~SMCENTER + group	ENSG00000153234.15	NR4A2	2281.4537120987075	-0.0825409522120117	0.17020738163812638	-0.4849434344010998	0.6277164709668244	NA
~SMCENTER + group	ENSG00000184160.8	ADRA2C	1516.9556376984808	-0.1378943717242503	0.14276910276765786	-0.9658558403120268	0.33411632198949426	NA
~SMCENTER + group	ENSG00000109819.9	PPARGC1A	575.636864013205	0.0742437499937143	0.13419224819507744	0.5532640744328612	0.580082597388992	NA
~SMCENTER + group	ENSG00000109424.4	UCP1	2.1429055394015157	0.5292509999732303	0.5388764893959546	0.9821378560539655	NA	NA
~SMCENTER + group	ENSG00000155846.17	PPARGC1B	1059.4198557391687	-0.23524041910621393	0.10655327483718785	-2.2077258485547113	0.027263389820377532	NA
~SMCENTER + group	ENSG00000188778.6	ADRB3	21.702153148884115	-0.21433279531802232	0.44372624263249605	-0.48302934270114267	NA	NA
~SMCENTER + group	ENSG00000119508.18	NR4A3	1525.4835824931918	-0.14247963623822327	0.20595578655981694	-0.6917971988946379	0.48906469597130464	NA
~SMCENTER + group	ENSG00000043591.6	ADRB1	302.93048906927606	0.2666719508187927	0.2180454755533798	1.2230107051843349	0.2213256529770764	NA
~SMCENTER + group	ENSG00000211448.14	DIO2	271.9448995837112	0.23809572500584394	0.21133866686929684	1.1266074899256135	0.25990847097944536	NA
