design	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
~SMCENTER + group	ENSG00000198886.2	MT-ND4	1483026.916688994	-0.3544667944100029	0.1526640911129246	-2.321874068917793	0.020239717464249792	0.3762079843893384
~SMCENTER + group	ENSG00000198804.2	MT-CO1	1237611.4480673426	-0.585309377494496	0.21731939098555575	-2.693314088724825	0.00707455878971131	0.26713747968470686
~SMCENTER + group	ENSG00000198727.2	MT-CYB	852628.1057344708	-0.2540739475803536	0.1432508603478434	-1.7736294704507067	0.07612445966928112	0.5062993007049261
~SMCENTER + group	ENSG00000198763.3	MT-ND2	811034.4539075822	-0.22956693867994074	0.12745020334826487	-1.80122850061397	0.0716668719554676	0.49878878918939606
~SMCENTER + group	ENSG00000198938.2	MT-CO3	803522.5933193251	-0.22267055980908684	0.15017824459952792	-1.4827085001750433	0.13815187526486344	0.5997782517387298
~SMCENTER + group	ENSG00000198899.2	MT-ATP6	716500.5180081998	-0.2237300379118401	0.13666317828172828	-1.6370908442552485	0.10161148936608518	0.5535210954113479
~SMCENTER + group	ENSG00000198888.2	MT-ND1	694847.4237508754	-0.2916858564756764	0.15436115698023864	-1.889632483857439	0.05880712956499377	0.48749666254639856
~SMCENTER + group	ENSG00000198712.1	MT-CO2	677030.2889708579	-0.32091821219844585	0.14403888518910596	-2.227997056330437	0.02588071129903972	0.39518442828325945
~SMCENTER + group	ENSG00000210082.2	MT-RNR2	655383.917901876	-0.2047799329809793	0.15894603199258445	-1.288361404269175	0.19762018736655337	0.6630735151232493
~SMCENTER + group	ENSG00000198786.2	MT-ND5	425153.84018362715	-0.46382386626912503	0.19139913955974458	-2.423333079427685	0.015378818968508247	0.3416115082078372
~SMCENTER + group	ENSG00000156508.19	EEF1A1	389235.09757983335	0.011307171092897065	0.04606650835460279	0.24545318273003633	0.8061055542586822	0.9520844980706662
~SMCENTER + group	ENSG00000211445.13	GPX3	332055.7757012207	0.1209343912769437	0.1688020234155523	0.7164273794232351	0.47372749388595536	0.8279875085512833
~SMCENTER + group	ENSG00000135821.19	GLUL	245075.5086283672	-0.3029102206560092	0.196652302036749	-1.5403339677122287	0.12347896803117311	0.5831988688580076
~SMCENTER + group	ENSG00000169710.9	FASN	240465.24335068706	-0.8045918269801748	0.29661015482726377	-2.712624007929679	0.0066752799697723875	0.26688212915583587
~SMCENTER + group	ENSG00000075624.17	ACTB	231731.27906000463	0.07325366569552043	0.07159808840449897	1.0231232052128005	0.3062495964912143	0.730602858044927
~SMCENTER + group	ENSG00000198840.2	MT-ND3	215838.90382087263	-0.1980420122579634	0.13480224745949537	-1.4691298994660305	0.14179755938003405	0.6001992328219429
~SMCENTER + group	ENSG00000099194.6	SCD	194195.01166519395	-0.4651229669852194	0.3322781064973425	-1.3998002212310647	0.16157315157164379	0.6203297827221689
