depot	menopause_def	set_name	model	contrast	n	estimate	se	t	p	conf_low	conf_high
subcutaneous	3group	acute_beta_adrenergic	base	peri_vs_pre	233	0.01376354763137719	0.11978204784983047	0.11490492839655245	0.9086216067564091	-0.22100926615429053	0.2485363614170449
subcutaneous	3group	acute_beta_adrenergic	base	post_vs_pre	233	0.16985012194830654	0.12118659759997451	1.4015586319946511	0.1624068810092918	-0.0676756093476435	0.40737585324425657
subcutaneous	3group	acute_beta_adrenergic	base	post_vs_peri	233	0.15608657431692935	0.12002714318066053	1.3004273048638129	0.19476748730524482	-0.07916662631716528	0.391339774951024
subcutaneous	3group	acute_beta_adrenergic	rin	peri_vs_pre	233	-0.00994338713262086	0.11731493289694017	-0.08475806861992592	0.9325284336727946	-0.23988065561062358	0.21999388134538186
subcutaneous	3group	acute_beta_adrenergic	rin	post_vs_pre	233	0.15713017659069262	0.11853945162373145	1.3255517419589222	0.18632069458738662	-0.07520714859182101	0.3894675017732062
subcutaneous	3group	acute_beta_adrenergic	rin	post_vs_peri	233	0.16707356372331347	0.11739129246711562	1.4232193905703454	0.1560454719271734	-0.06301336951223313	0.3971604969588601
subcutaneous	3group	acute_beta_adrenergic	rin_isch	peri_vs_pre	233	-0.055762286311696725	0.10904983371674318	-0.5113468256773247	0.6096074347717719	-0.26949996039651336	0.1579753877731199
subcutaneous	3group	acute_beta_adrenergic	rin_isch	post_vs_pre	233	0.03117158503427354	0.1118171636559544	0.2787728110344857	0.7806740955048593	-0.1879900557313971	0.25033322579994416
subcutaneous	3group	acute_beta_adrenergic	rin_isch	post_vs_peri	233	0.08693387134597026	0.10964131554460543	0.7928933624533437	0.4286715343518106	-0.12796310712145637	0.3018308498133969
subcutaneous	3group	acute_beta_adrenergic	rin_isch_hardy	peri_vs_pre	233	-0.12321996255733167	0.11102888288552688	-1.1098009757008367	0.2683074919137442	-0.34083657301296433	0.09439664789830102
subcutaneous	3group	acute_beta_adrenergic	rin_isch_hardy	post_vs_pre	233	-0.01894293171345073	0.11668526408660279	-0.16234210773514168	0.8711868318086514	-0.2476460493231922	0.20976018589629072
subcutaneous	3group	acute_beta_adrenergic	rin_isch_hardy	post_vs_peri	233	0.10427703084388094	0.10985467695234082	0.9492270491962789	0.34355625123428946	-0.11103813598270705	0.3195921976704689
subcutaneous	3group	acute_beta_adrenergic	rin_isch_hardy_ge	peri_vs_pre	233	-0.38971941917296066	0.18163891879971847	-2.145572225094993	0.034660990982258284	-0.7457317000204089	-0.033707138325512476
subcutaneous	3group	acute_beta_adrenergic	rin_isch_hardy_ge	post_vs_pre	233	-0.37262833390491007	0.16897077002958497	-2.205282806249074	0.030040983810510454	-0.7038110431628966	-0.04144562464692353
subcutaneous	3group	acute_beta_adrenergic	rin_isch_hardy_ge	post_vs_peri	233	0.017091085268050588	0.16618707869029395	0.1028424436047854	0.9183220165568813	-0.30863558896492554	0.3428177595010267
subcutaneous	3group	adrenergic_receptors	base	peri_vs_pre	233	-0.025527703298315527	0.0776453161379012	-0.32877325469288193	0.7426288562792844	-0.17771252292860187	0.12665711633197083
subcutaneous	3group	adrenergic_receptors	base	post_vs_pre	233	-0.08457011736726652	0.07855577568788373	-1.0765614192809814	0.28281404671468696	-0.23853943771551864	0.06939920298098559
subcutaneous	3group	adrenergic_receptors	base	post_vs_peri	233	-0.059042414068951	0.07780419223651391	-0.758859032807259	0.4487206654243797	-0.21153863085251826	0.09345380271461626
subcutaneous	3group	adrenergic_receptors	rin	peri_vs_pre	233	-0.026702272264063662	0.07794325112471323	-0.3425860722866005	0.7322268891046549	-0.1794710444685016	0.12606649994037428
subcutaneous	3group	adrenergic_receptors	rin	post_vs_pre	233	-0.0852003318261072	0.07875681311782329	-1.0818153814660347	0.2804824548031699	-0.23956368553704085	0.06916302188482645
subcutaneous	3group	adrenergic_receptors	rin	post_vs_peri	233	-0.05849805956204354	0.07799398390874157	-0.7500329721647553	0.4540115033090075	-0.211366268023177	0.09437014889908993
subcutaneous	3group	adrenergic_receptors	rin_isch	peri_vs_pre	233	-0.015325449056912355	0.07750787064441741	-0.19772764919863253	0.8434358842191406	-0.1672408755199705	0.13658997740614578
subcutaneous	3group	adrenergic_receptors	rin_isch	post_vs_pre	233	-0.05392483954597884	0.079474768196191245	-0.6785152164629168	0.49813925599972386	-0.20969538521051367	0.10184570611855598
subcutaneous	3group	adrenergic_receptors	rin_isch	post_vs_peri	233	-0.038599390489066486	0.07792827015755699	-0.4953194830454396	0.6208558728489486	-0.1913387999978782	0.11414001901974521
subcutaneous	3group	adrenergic_receptors	rin_isch_hardy	peri_vs_pre	233	-8.006591612014274e-4	0.08086336076574047	-0.009901383687488836	0.9921090229452133	-0.15929284626205273	0.15769152793964988
subcutaneous	3group	adrenergic_receptors	rin_isch_hardy	post_vs_pre	233	0.011033679112636655	0.08498295543159634	0.1298340244417338	0.8968174607518519	-0.15553291353329218	0.17760027175856546
subcutaneous	3group	adrenergic_receptors	rin_isch_hardy	post_vs_peri	233	0.011834338273838082	0.0800081757407196	0.14791411208011182	0.8825472693886591	-0.14498168617797233	0.1686503627256485
subcutaneous	3group	adrenergic_receptors	rin_isch_hardy_ge	peri_vs_pre	233	-0.033320015670154336	0.1252330584578447	-0.26606405752974843	0.7908122570521228	-0.2787768102475299	0.21213677890722124
subcutaneous	3group	adrenergic_receptors	rin_isch_hardy_ge	post_vs_pre	233	-0.08671164828067725	0.11649885641586877	-0.7443133001335275	0.4586699367044135	-0.31504940685578003	0.1416261102944255
subcutaneous	3group	adrenergic_receptors	rin_isch_hardy_ge	post_vs_peri	233	-0.05339163261052291	0.1145796081483407	-0.4659784884357375	0.6423822371046477	-0.2779676645812707	0.17118439936022486
subcutaneous	3group	lipolysis_core	base	peri_vs_pre	233	-0.3884612249672164	0.1262672793450954	-3.0764995253087744	0.0023505580002485616	-0.6359450924836034	-0.14097735745082943
subcutaneous	3group	lipolysis_core	base	post_vs_pre	233	-0.45850013101779685	0.1277478741323699	-3.5891018471486094	4.0617252967492686e-4	-0.7088859643172418	-0.20811429771835183
subcutaneous	3group	lipolysis_core	base	post_vs_peri	233	-0.07003890605058044	0.1265256446106726	-0.5535550225102159	0.580425839855756	-0.3180291694874987	0.17795135738633783
subcutaneous	3group	lipolysis_core	rin	peri_vs_pre	233	-0.3816964915216416	0.1265448963180067	-3.0162930519334434	0.00285034931428867	-0.6297244883049347	-0.13366849473834846
subcutaneous	3group	lipolysis_core	rin	post_vs_pre	233	-0.45487051628088004	0.12786575625880714	-3.5574068428469445	4.558806599151588e-4	-0.705487398548142	-0.20425363401361807
subcutaneous	3group	lipolysis_core	rin	post_vs_peri	233	-0.07317402475923845	0.12662726361475338	-0.5778694308822838	0.5639250516633085	-0.32136346144415506	0.17501541192567815
subcutaneous	3group	lipolysis_core	rin_isch	peri_vs_pre	233	-0.3345427304069986	0.11851240489514488	-2.8228499008436194	0.005184409311829425	-0.5668270440014825	-0.10225841681251466
subcutaneous	3group	lipolysis_core	rin_isch	post_vs_pre	233	-0.32524231824462874	0.12151986410032019	-2.6764539332937893	0.00798570525134861	-0.5634212518812562	-0.08706338460800117
subcutaneous	3group	lipolysis_core	rin_isch	post_vs_peri	233	0.009300412162369875	0.11915521132118502	0.07805291987859807	0.9378550184129526	-0.22424380202715277	0.24284462635189252
subcutaneous	3group	lipolysis_core	rin_isch_hardy	peri_vs_pre	233	-0.27508436034014055	0.12475233980861278	-2.205043695069429	0.02849624388021765	-0.5195989463650216	-0.030569774315259507
subcutaneous	3group	lipolysis_core	rin_isch_hardy	post_vs_pre	233	-0.21185061327396712	0.13110786434731508	-1.6158497762785466	0.10757304080645991	-0.4688220273947047	0.04512080084677042
subcutaneous	3group	lipolysis_core	rin_isch_hardy	post_vs_peri	233	0.06323374706617343	0.1234329989868813	0.512292074122691	0.6089652339375804	-0.17869493094811392	0.30516242508046076
