depot	score_name	sex	age_bin_label	n	mean	sd	se
subcutaneous	acute_beta_adrenergic	Male	20-29	38	-0.2919299014648012	0.7329348415471774	0.11889773159203337
subcutaneous	acute_beta_adrenergic	Male	30-39	44	-0.07062571795789854	0.8838441758781724	0.13324452293312658
subcutaneous	acute_beta_adrenergic	Male	40-49	66	-0.15522944492479915	0.7895591555744086	0.09718801367603688
subcutaneous	acute_beta_adrenergic	Male	50-59	156	0.061874354415845025	0.8089395393182593	0.06476699748548528
subcutaneous	acute_beta_adrenergic	Male	60-69	163	0.33739365616962513	0.7504067626606534	0.058776393859558976
subcutaneous	acute_beta_adrenergic	Male	70-79	14	0.09076675104989702	0.6841351603961445	0.18284281260342924
subcutaneous	acute_beta_adrenergic	Female	20-29	19	-0.25593675445269165	0.6582056348525509	0.15100272875743695
subcutaneous	acute_beta_adrenergic	Female	30-39	16	-0.5096941763087994	0.8445954187641231	0.21114885469103079
subcutaneous	acute_beta_adrenergic	Female	40-49	43	-0.2573140122440372	0.7404604318349522	0.11291915724269329
subcutaneous	acute_beta_adrenergic	Female	50-59	76	-0.22871742259479563	0.8044249339277	0.09227386828040071
subcutaneous	acute_beta_adrenergic	Female	60-69	70	-0.03976560406449143	0.7021909982381439	0.08392787703113064
subcutaneous	acute_beta_adrenergic	Female	70-79	9	0.30847061504243184	0.6134069748286736	0.20446899160955787
subcutaneous	adipocyte	Male	20-29	38	0.5593527527643378	0.6523961682812492	0.10583263355884837
subcutaneous	adipocyte	Male	30-39	44	0.18883982307681987	0.6593621239980374	0.09940258028514919
subcutaneous	adipocyte	Male	40-49	66	0.14138466845652992	0.7737440401074296	0.09524130753319612
subcutaneous	adipocyte	Male	50-59	156	-0.16124440297396866	0.8819351616034409	0.07061132460167507
subcutaneous	adipocyte	Male	60-69	163	-0.347374537834334	0.8607524610565378	0.06741933599753855
subcutaneous	adipocyte	Male	70-79	14	0.00727763888130629	1.0673392875886127	0.2852584235428549
subcutaneous	adipocyte	Female	20-29	19	0.9914758780435617	0.5103049969083595	0.11707199536354604
subcutaneous	adipocyte	Female	30-39	16	0.5963669185037885	0.7912958851977505	0.19782397129943763
subcutaneous	adipocyte	Female	40-49	43	0.3197668824508182	0.8066729130262165	0.12301646596253557
subcutaneous	adipocyte	Female	50-59	76	0.10150310523002017	0.816510057378846	0.09366012701313121
subcutaneous	adipocyte	Female	60-69	70	-0.005294628385354226	0.8993336310149813	0.10749092851256868
subcutaneous	adipocyte	Female	70-79	9	-0.7438839651932276	1.0134297026082646	0.33780990086942153
subcutaneous	camp_core	Male	20-29	38	0.4542225736310725	0.5949617455082685	0.0965155398747904
subcutaneous	camp_core	Male	30-39	44	0.16632165872636515	0.4419131551196019	0.0666209147933565
subcutaneous	camp_core	Male	40-49	66	0.04557554086540072	0.5161219756758973	0.0635302235131451
subcutaneous	camp_core	Male	50-59	156	-0.03990040690642339	0.4149701648580573	0.033224203191456685
subcutaneous	camp_core	Male	60-69	163	-0.10432913319904025	0.4357436402904325	0.03413007597732748
subcutaneous	camp_core	Male	70-79	14	-0.13548744579230768	0.39983801599174856	0.10686120471775452
subcutaneous	camp_core	Female	20-29	19	0.4583594118050289	0.5309268331016492	0.12180296904758811
subcutaneous	camp_core	Female	30-39	16	0.1719691097533002	0.40183878478048324	0.10045969619512081
subcutaneous	camp_core	Female	40-49	43	0.12315271335336866	0.5088860595300679	0.07760439654052811
subcutaneous	camp_core	Female	50-59	76	-0.07628937215751126	0.43258935864518916	0.049621402589090854
subcutaneous	camp_core	Female	60-69	70	-0.13409737181567757	0.5112990516392578	0.061111925444478445
subcutaneous	camp_core	Female	70-79	9	-0.44786144362153213	0.5140399094572865	0.17134663648576218
subcutaneous	lipolysis_core	Male	20-29	38	0.570721397608438	0.6024089439381786	0.0977236349875332
subcutaneous	lipolysis_core	Male	30-39	44	0.17677389805296187	0.6109581799024446	0.09210541115158463
subcutaneous	lipolysis_core	Male	40-49	66	0.08021312739743947	0.7014279749596745	0.08633981525240039
subcutaneous	lipolysis_core	Male	50-59	156	-0.1926040098737062	0.7994982374187003	0.06401108836413885
subcutaneous	lipolysis_core	Male	60-69	163	-0.3331102610059399	0.7331698735905542	0.05742629651061513
subcutaneous	lipolysis_core	Male	70-79	14	0.03777456966902613	0.880328709103874	0.23527774408626273
subcutaneous	lipolysis_core	Female	20-29	19	1.0369135240508638	0.581375289830927	0.13337663877077266
subcutaneous	lipolysis_core	Female	30-39	16	0.5960082281073038	0.7350589350529511	0.18376473376323776
subcutaneous	lipolysis_core	Female	40-49	43	0.30179936841498667	0.7519975905357008	0.11467855745025782
