depot	comparison	score_name	model	effect	n	estimate	se	t	p	padj_within
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	base	male_old_vs_young	342	0.44843986455159895	0.10604355933898292	4.228826977771454	3.0322032995677905e-5	3.33542362952457e-4
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	base	female_old_vs_young	342	0.1315486121096056	0.14159009023937605	0.9290806431947741	0.35351426356304994	1
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	base	sex_interaction_female_minus_male	342	-0.31689125244199334	0.17622516222943396	-1.7982179640692915	0.0730399837472466	0.8034398212197126
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	tech	male_old_vs_young	342	0.2746190022441926	0.1014977128798	2.7056669007843928	0.007166539249200197	0.07435667198221942
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	tech	female_old_vs_young	342	0.007758830753927526	0.1335138805929938	0.05811254020531161	0.9536937369127811	1
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	tech	sex_interaction_female_minus_male	342	-0.2668601714902651	0.1642578663544151	-1.6246416528659122	0.10518219182457678	1
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	tech_comp	male_old_vs_young	342	0.2048228184484513	0.09847279698535374	2.0799939142473574	0.038295171662349345	0.3446565449611441
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	tech_comp	female_old_vs_young	342	-0.020361252929623375	0.12865067271431077	-0.15826775328908516	0.874342329196339	1
subcutaneous	40-49_vs_60-69	acute_beta_adrenergic	tech_comp	sex_interaction_female_minus_male	342	-0.22518407137807467	0.158316468376129	-1.4223666917776443	0.15586149356666648	1
subcutaneous	40-49_vs_60-69	adrenergic_receptors	base	male_old_vs_young	342	0.03400947881642607	0.064440455974624	0.5277659554398352	0.5980101314405843	1
subcutaneous	40-49_vs_60-69	adrenergic_receptors	base	female_old_vs_young	342	-0.01440738452741542	0.08604134030759009	-0.1674472349676366	0.867118895232013	1
subcutaneous	40-49_vs_60-69	adrenergic_receptors	base	sex_interaction_female_minus_male	342	-0.04841686334384149	0.10708835009928033	-0.4521207330111519	0.6514737446923806	1
subcutaneous	40-49_vs_60-69	adrenergic_receptors	tech	male_old_vs_young	342	0.08440886785385127	0.06502270601527749	1.2981444948479826	0.1951333727536303	1
subcutaneous	40-49_vs_60-69	adrenergic_receptors	tech	female_old_vs_young	342	0.04178214827855549	0.08553329489343471	0.4884898720505454	0.625523459973498	1
subcutaneous	40-49_vs_60-69	adrenergic_receptors	tech	sex_interaction_female_minus_male	342	-0.04262671957529578	0.10522888301245158	-0.40508573649167995	0.6856738187193517	1
subcutaneous	40-49_vs_60-69	adrenergic_receptors	tech_comp	male_old_vs_young	342	0.15363369357248993	0.05737293786745183	2.677807678725263	0.007780134886814815	0.08558148375496297
subcutaneous	40-49_vs_60-69	adrenergic_receptors	tech_comp	female_old_vs_young	342	0.06656385966721447	0.07495539152139498	0.8880463208335685	0.37516068524537216	1
subcutaneous	40-49_vs_60-69	adrenergic_receptors	tech_comp	sex_interaction_female_minus_male	342	-0.08706983390527546	0.09223949335864823	-0.9439539478683827	0.34588167844347173	1
subcutaneous	40-49_vs_60-69	lipolysis_core	base	male_old_vs_young	342	-0.3934959769556671	0.11008394356196685	-3.5745083635577255	4.0228048221663623e-4	0.003620524339949726
subcutaneous	40-49_vs_60-69	lipolysis_core	base	female_old_vs_young	342	-0.2015600008938202	0.14698483906052148	-1.3712978983555386	0.17119722580202093	1
subcutaneous	40-49_vs_60-69	lipolysis_core	base	sex_interaction_female_minus_male	342	0.19193597606184692	0.18293954799319853	1.0491770542090924	0.2948506970561199	1
subcutaneous	40-49_vs_60-69	lipolysis_core	tech	male_old_vs_young	342	-0.2210885439803751	0.10643003267868889	-2.0773135027388276	0.038536444752812545	0.30829155802250036
subcutaneous	40-49_vs_60-69	lipolysis_core	tech	female_old_vs_young	342	-0.055061649929873335	0.14000203818778797	-0.39329177376702096	0.694354914059844	1
subcutaneous	40-49_vs_60-69	lipolysis_core	tech	sex_interaction_female_minus_male	342	0.16602689405050178	0.17224003958133882	0.9639274030246437	0.33577969597267987	1
subcutaneous	40-49_vs_60-69	lipolysis_core	tech_comp	male_old_vs_young	342	0.015321395014313814	0.026444383848442804	0.5793818113563658	0.5627256756337133	1
subcutaneous	40-49_vs_60-69	lipolysis_core	tech_comp	female_old_vs_young	342	0.012140815336004446	0.03454850350319213	0.3514136389404736	0.725501636907844	1
subcutaneous	40-49_vs_60-69	lipolysis_core	tech_comp	sex_interaction_female_minus_male	342	-0.0031805796783093677	0.04251510658208377	-0.07481057755714744	0.9404106173931301	1
subcutaneous	40-49_vs_60-69	thermogenesis_program	base	male_old_vs_young	342	-0.1467034885411157	0.05596487345658154	-2.621349419380545	0.009156444230151122	0.06409510961105785
subcutaneous	40-49_vs_60-69	thermogenesis_program	base	female_old_vs_young	342	-0.09152228275054416	0.07472468419908701	-1.2247931688370037	0.22151112516815574	1
subcutaneous	40-49_vs_60-69	thermogenesis_program	base	sex_interaction_female_minus_male	342	0.05518120579057153	0.0930034691924027	0.5933241659664799	0.5533633988514082	1
subcutaneous	40-49_vs_60-69	thermogenesis_program	tech	male_old_vs_young	342	-0.0751859410380487	0.05516714170804039	-1.362875412975957	0.1738399059317882	1
subcutaneous	40-49_vs_60-69	thermogenesis_program	tech	female_old_vs_young	342	-0.04284191474108008	0.07256891767981863	-0.5903617707253527	0.5553473523691588	1
subcutaneous	40-49_vs_60-69	thermogenesis_program	tech	sex_interaction_female_minus_male	342	0.032344026296968614	0.08927922346945631	0.36227943120533485	0.7173723422564173	1
subcutaneous	40-49_vs_60-69	thermogenesis_program	tech_comp	male_old_vs_young	342	-0.02563631519220756	0.050774883112265495	-0.5049015107631964	0.6139639948867178	1
subcutaneous	40-49_vs_60-69	thermogenesis_program	tech_comp	female_old_vs_young	342	-0.02873978941307142	0.06633530344786508	-0.4332502893524696	0.6651151418943897	1
subcutaneous	40-49_vs_60-69	thermogenesis_program	tech_comp	sex_interaction_female_minus_male	342	-0.0031034742208638604	0.08163168329361281	-0.03801801084636813	0.9696962405339596	1
subcutaneous	40-49_vs_60-69	adipocyte	base	male_old_vs_young	342	-0.4642789909479924	0.12249050636542558	-3.7903263258861077	1.7829130526670166e-4	0.0017829130526670167
subcutaneous	40-49_vs_60-69	adipocyte	base	female_old_vs_young	342	-0.2521712227270432	0.16355016709979303	-1.54185854529379	0.12404921490296553	1
subcutaneous	40-49_vs_60-69	adipocyte	base	sex_interaction_female_minus_male	342	0.2121077682209492	0.20355700516247563	1.0420067246108702	0.29815772001835456	1
subcutaneous	40-49_vs_60-69	adipocyte	tech	male_old_vs_young	342	-0.26676045659331216	0.11795232726507854	-2.2615955342179195	0.024364986016491032	0.2192848741484193
subcutaneous	40-49_vs_60-69	adipocyte	tech	female_old_vs_young	342	-0.08618199593174197	0.1551588946322911	-0.5554434770625525	0.578963193420773	1
subcutaneous	40-49_vs_60-69	adipocyte	tech	sex_interaction_female_minus_male	342	0.18057846066157018	0.1908870363516873	0.9459964600680124	0.3448342587313944	1
subcutaneous	40-49_vs_60-69	adipocyte	tech_comp	male_old_vs_young	342	-3.751735354747619e-18	9.800234002089807e-17	-0.03828209973300226	0.9694858408062779	1
subcutaneous	40-49_vs_60-69	adipocyte	tech_comp	female_old_vs_young	342	1.7438767695948856e-16	1.2803603997498323e-16	1.3620202326904356	0.1741176837839147	1
subcutaneous	40-49_vs_60-69	adipocyte	tech_comp	sex_interaction_female_minus_male	342	1.7813941231423618e-16	1.5756010634097067e-16	1.130612414850308	0.259036815336776	1
subcutaneous	40-49_vs_60-69	macrophage_mono	base	male_old_vs_young	342	0.06211800751219977	0.13824893530033527	0.44931997036543636	0.6534905407795605	1
subcutaneous	40-49_vs_60-69	macrophage_mono	base	female_old_vs_young	342	0.14738191612052176	0.18459092986589556	0.7984244742013815	0.42518816988249186	1
subcutaneous	40-49_vs_60-69	macrophage_mono	base	sex_interaction_female_minus_male	342	0.08526390860832198	0.22974465590567916	0.37112466565196955	0.710778570286627	1
subcutaneous	40-49_vs_60-69	macrophage_mono	tech	male_old_vs_young	342	0.06520296897319135	0.14175309756919052	0.45997562022491534	0.6458330024830439	1
subcutaneous	40-49_vs_60-69	macrophage_mono	tech	female_old_vs_young	342	0.11780179288108536	0.18646731641089562	0.631755715417171	0.5279786702913575	1
subcutaneous	40-49_vs_60-69	macrophage_mono	tech	sex_interaction_female_minus_male	342	0.05259882390789402	0.22940478849428772	0.22928389704996832	0.8187886058179606	1
subcutaneous	40-49_vs_60-69	macrophage_mono	tech_comp	male_old_vs_young	342	-2.0792232057093348e-16	2.3066131523817633e-16	-0.9014182562699644	0.36802140074661505	1
subcutaneous	40-49_vs_60-69	macrophage_mono	tech_comp	female_old_vs_young	342	-6.266080447050975e-17	3.0134955320678795e-16	-0.2079339551152794	0.8354084159568782	1
subcutaneous	40-49_vs_60-69	macrophage_mono	tech_comp	sex_interaction_female_minus_male	342	1.4526151610042373e-16	3.708383019214175e-16	0.3917111995923371	0.6955236758472028	1
subcutaneous	40-49_vs_60-69	fibroblast_ecm	base	male_old_vs_young	342	0.24313408350482899	0.12887264206879673	1.886622944961705	0.06007309644593944	0.30036548222969717
subcutaneous	40-49_vs_60-69	fibroblast_ecm	base	female_old_vs_young	342	0.12272574463954386	0.17207163861388686	0.7132247105226288	0.4762017775450871	1
subcutaneous	40-49_vs_60-69	fibroblast_ecm	base	sex_interaction_female_minus_male	342	-0.12040833886528512	0.21416295715718003	-0.5622276628208591	0.5743357934100939	1
subcutaneous	40-49_vs_60-69	fibroblast_ecm	tech	male_old_vs_young	342	0.15503870505500833	0.12629298269266265	1.2276113981114785	0.2204573651897805	1
subcutaneous	40-49_vs_60-69	fibroblast_ecm	tech	female_old_vs_young	342	-0.018892957124775234	0.16613050415165592	-0.11372358870065415	0.9095252396820436	1
subcutaneous	40-49_vs_60-69	fibroblast_ecm	tech	sex_interaction_female_minus_male	342	-0.17393166217978356	0.20438505739729257	-0.8509998939975716	0.39537909564089124	1
subcutaneous	40-49_vs_60-69	fibroblast_ecm	tech_comp	male_old_vs_young	342	2.3868208252477573e-17	3.6756120866056615e-17	0.6493668997187155	0.5165515940798715	1
subcutaneous	40-49_vs_60-69	fibroblast_ecm	tech_comp	female_old_vs_young	342	-2.8169813532967226e-19	4.802036522319983e-17	-0.005866222258417496	0.9953229925677238	1
