Mixture,adipocyte,aspc,b_cell,dendritic_cell,endothelial,lec,macrophage,mast_cell,mesothelium,monocyte,nk_cell,pericyte,smc,t_cell,P-value,Correlation,RMSE
GTEX-1117F-0226-SM-5GZZ7,0,0.547617949966751,0,0,0.130257586883869,0,0.123112570077073,0,0,0.149164329211867,0,0.00329979832352268,0,0.0465477655369172,9999,0.127214684561244,1.19493741142977
GTEX-111CU-1826-SM-5GZYN,0,0.428264322847968,0,0,0.157279933476421,0,0.14739952811667,0,0,0.233766143589626,0,0.0332900719693145,0,0,9999,0.108935396468746,1.18960915934457
GTEX-111FC-0226-SM-5N9B8,0,0.415161472188766,0,0,0.145739494344815,0,0.12262127918186,0,0,0.118123870972207,0,0.0196251415282063,0.178728741784145,0,9999,0.103376230999822,1.25035626486068
GTEX-111VG-2326-SM-5N9BK,0,0.314256986557725,0,0.163390740831883,0.055780154330697,0,0.120403260278128,0,0,0.245411443233068,0,0.087372079355909,0,0.0133853354125907,9999,0.127695505771397,1.17260067669226
GTEX-111YS-2426-SM-5GZZQ,0,0.281150554536781,0,0,0.280071120384652,0,0.0947967976244312,0,0,0.205993640985173,0,0.137987886468962,0,0,9999,0.0988963671606348,1.20896013150778
GTEX-1122O-2026-SM-9YFMG,0.0160735239857853,0.162656846760321,0,0.00264200843988503,0.207357842348493,0,0.129269939651584,0,0,0.203622028292183,0.0565355309796869,0.151160763003654,0,0.0706815165384077,9999,0.104987629696877,1.21636845857605
GTEX-1128S-2126-SM-5H12U,0,0.187676283887333,0.00515295696205778,0,0.214119881079094,0,0.123209115091058,0,0,0.16189034082702,0.0576298864363453,0.189863698260067,0,0.0604578374570261,9999,0.10724057548048,1.21476417183396
GTEX-113IC-0226-SM-5HL5C,0,0.454667147602817,0,0,0.146202502509996,0,0.136427350150495,0,0,0.200731026989455,0,0.00778212459707378,0.0541898481501632,0,9999,0.0998832803111111,1.21071490047711
GTEX-117XS-2426-SM-GHWOR,0,0.434785785345752,0,0.0340900146314864,0.110321463975173,0,0.140507493453228,0,0,0.101428053161019,0.0463307378132803,0.0768925347330033,0,0.0556439168870585,9999,0.0987272623896815,1.2227871302339
GTEX-117YX-2226-SM-5EGJJ,0,0.357608642176858,0,0,0.205122004589733,0,0.169752236287253,0,0,0.181535757924675,0,0.0841017028529334,0,0.00187965616854648,9999,0.0953175954772999,1.20711833180957
GTEX-11DXW-0326-SM-5H11W,0,0.247935663100916,0,0,0.276614502012308,0,0.0688296894412625,0,0,0.123138982209546,0,0.0781963898655644,0.205284773370403,0,9999,0.0941811003927495,1.26527926840704
GTEX-11DXX-2326-SM-5Q5A2,0,0.155532388218014,0,0.0310595105096552,0.137214972296438,0,0.160495314310198,0,0,0.205415597432986,0.0561586263702682,0.206447122271357,0,0.0476764685910819,9999,0.106837957053572,1.20619471407595
GTEX-11DYG-0226-SM-HAV3F,0,0.428519490489617,0,0,0.251074942336875,0,0.0762846870570736,0,0,0.148269619221153,0,0.0633428829874787,0.0325083779078022,0,9999,0.148237567617326,1.18950477681489
GTEX-11DZ1-0226-SM-5A5KF,0,0.215890393519247,0,0,0.298306854856037,0,0.115680184869225,0,0,0.215494444681343,8.33528308154633e-4,0.153794593765993,0,0,9999,0.10380331949312,1.20238205035713
GTEX-11EI6-0226-SM-5EQ64,0,0.313105356607692,0,0,0.258141400747938,0,0.0946752319767474,0,0,0.152940669237501,0,0.0621926931107818,0.11894464831934,0,9999,0.103442743205664,1.23263631021751
GTEX-11EM3-2326-SM-5H12B,0,0.306156594478273,0,0,0.266434483692515,0,0.0864511475972715,0,0,0.173737386788833,0,0.167220387443107,0,0,9999,0.0931654780107251,1.22275854220832
