Mixture,adipocyte,aspc,b_cell,dendritic_cell,endothelial,lec,macrophage,mast_cell,mesothelium,monocyte,nk_cell,pericyte,smc,t_cell,P-value,Correlation,RMSE
GTEX-1117F-0226-SM-5GZZ7,0,0.341305604056146,0,0.0575403248471473,0.121637005897406,0,0.0507605411445784,0,0,0.0699029486549287,0.075833208181329,3.41443545119322e-4,0.101302180079099,0.181376743594245,9999,0.527623276373857,0.872923665852618
GTEX-111CU-1826-SM-5GZYN,0.0847016270212886,0.171528264613033,0,0.018153660899553,0.163974949040673,0,0.153314480043205,0,0,0.0351088650077808,0.119769565439896,0.0319125554110195,0.055322265344113,0.166213767179438,9999,0.594638496265445,0.810297327370276
GTEX-111FC-0226-SM-5N9B8,0,0.227351330931034,0,0.0882286441693222,0.138537067808228,0,0.0528037803443345,0,0,0,0.107239903620692,0.0355955718498603,0.191670206952414,0.158573494324115,9999,0.634664269803405,0.775007905791494
GTEX-111VG-2326-SM-5N9BK,0.00755923490294265,0.176397394832298,0,0.101272324932591,0.122324914137903,0,0.067334486797882,0,0,0.119679587852586,0.100212021223887,0.0614629735467556,0.0741757260893475,0.169581335683808,9999,0.543864806933757,0.862008672815667
GTEX-111YS-2426-SM-5GZZQ,0.136418773497367,0.0947561792942079,0,0.0714076861846377,0.178624318977384,0,0.0994094012588668,0,0,0.00501921164254625,0.115438920500666,0.113686170069904,0.0245351168263486,0.160704221748073,9999,0.60027318842725,0.804936309770991
GTEX-1122O-2026-SM-9YFMG,0.229671833876538,0.0539209242065856,0,0.0505887557515967,0.174082452665337,0,0.0900967798116088,0,0,0.0254722041867963,0.108417427544279,0.0578163969486845,0.0611231455048166,0.148810079503757,9999,0.56742996420876,0.831649769238258
GTEX-1128S-2126-SM-5H12U,0.155561839573358,0.0979669610410948,0,0.0105153135250529,0.187778921403137,0,0.106559042670751,0,0,0.0267108978211355,0.10393495998804,0.116777230141543,0.0269801368450102,0.167214696990876,9999,0.565947785763507,0.834104858623898
GTEX-113IC-0226-SM-5HL5C,0.0279679914359588,0.165164269192175,0,0.13936549258809,0.163143061804212,0,0.0716299484571241,0,0,0.00514343150776461,0.133167899688912,0.0217628517721033,0.117322753989945,0.155332299563715,9999,0.531994906565772,0.863693351536343
GTEX-117XS-2426-SM-GHWOR,0.0918072216560131,0.235564401241031,0,0.065645244633973407,0.147188517788313,0,0.0655518214529832,0,0,0.0356502871539925,0.109647809021974,0.0545042518565335,0.0505141149159272,0.143926330279259,9999,0.577056087728187,0.825149968047088
GTEX-117YX-2226-SM-5EGJJ,0.167230683311085,0.0957937526385344,0,0.0172594359436869,0.188115290107568,0,0.108577802058572,0,0,0.0171924752150292,0.117454273924553,0.0669283544739727,0.0526641496370951,0.168783782689904,9999,0.583420038501071,0.818497247536476
GTEX-11DXW-0326-SM-5H11W,0.0177788717640067,0.12852298372777,0,0.0866112261070547,0.152349945906318,0,0.0699596064730796,0,0,0,0.115540834990493,0.0281826289823092,0.237663119872129,0.163390782176839,9999,0.606654755116503,0.799122633905583
GTEX-11DXX-2326-SM-5Q5A2,0.187221776208739,0.0652088053072463,0,0.0211720924041824,0.170819903267081,0,0.149160689344062,0,0,0.0340854081865978,0.103867277590874,0.0836033083457805,0.0409142818628604,0.143946457482576,9999,0.580661501021147,0.821077719789077
