Mixture,adipocyte,aspc,b_cell,dendritic_cell,endothelial,lec,macrophage,mast_cell,mesothelium,monocyte,nk_cell,pericyte,smc,t_cell,P-value,Correlation,RMSE
GTEX-111CU-1026-SM-5EGIL,0,0.223065726153258,0,0,0.185328453729627,0,0.109562391566104,0,0,0.200514726523602,0,0.262038038563047,0,0.0194906634643617,9999,0.100070734622965,1.223908158593
GTEX-111FC-1426-SM-5N9C7,0,0.246579164605811,0,0,0.212149018076414,0,0.0616347342150164,0,0,0.110813315877555,0.0862173548175961,0.194837746987151,0,0.0877686654204572,9999,0.106719968743141,1.23180056917483
GTEX-111YS-1326-SM-5EGGK,0.00249097674227897,0.119074128178686,0,0,0.135483034626028,0,0.15785304101098,0,0,0.167774303772161,0.0738366686383279,0.266558270098455,0,0.0769295769330839,9999,0.109639591545804,1.22159042512446
GTEX-1122O-0926-SM-9YFLC,0,0.167217168712745,0,0,0.246141960188047,0,0.119069050918702,0,0,0.20593733197484,0,0.261634488205666,0,0,9999,0.0907782324041845,1.22453210933502
GTEX-1128S-0926-SM-5GZZU,0,0.145979304894814,0,0,0.234349307961287,0,0.165778964368988,0,0,0.128340254778512,0.0930450567685283,0.127206838685819,0,0.105300272542051,9999,0.112591755295368,1.20665768602106
GTEX-113JC-0726-SM-5GZZR,0,0.385023681897629,0,0,0.260929539552249,0,0.039748231688077,0,0,0.133188590052634,0,0.180885052665743,0,2.24904143667271e-4,9999,0.129751529270072,1.21234067428616
GTEX-117YW-0826-SM-5H11O,0,0.160994872483745,0.0182610368938661,0.0918354842969861,0.208570934562624,0,0.0537742630209509,0,0,0.130055919944273,0.13481454810385,0.123652807643915,0,0.0780401330497902,9999,0.157665526170042,1.17543528778099
GTEX-117YX-0726-SM-5GIET,0,0.325601653970219,0,0,0.0858801468508597,0,0.216804361399084,0,0,0.20859501515444,0,0.163118822625398,0,0,9999,0.0988638362947141,1.20808267882019
GTEX-1192X-1526-SM-5H11I,0,0.263454548589105,0,0,0.304252323466596,0,0.104738437304337,0,0,0.110052188804578,0.0216618960886003,0.152661796157689,0.00315968103415798,0.040019128554935,9999,0.11388987240099,1.21606276625581
GTEX-11DXX-2026-SM-5EGJL,0,0.214517344201373,0,0,0.13697701238085,0,0.11885097930356,0,0,0.143578019097519,0.0944286522437101,0.0354252415298139,0.190816100225291,0.065406651017882,9999,0.0958028972166937,1.25274760124714
GTEX-11DXY-0326-SM-5H12F,0,0.329999579382133,0,0,0.194162074327532,0,0.179925239400982,0,0,0.123364293810135,0.0352330455996211,0.137315767479597,0,0,9999,0.146101048309541,1.18664538061678
GTEX-11DXZ-1426-SM-5H12A,0,0.246214030141108,0,0,0.190008872488786,0,0.163025124278093,0,0,0.0936232502665859,0.0432697294289385,0.176426049298139,0.085798613968088,0.00163433013026203,9999,0.0863795526544129,1.25405285543732
GTEX-11DYG-2026-SM-5EGGX,0,0.403867716117399,0,0,0.23785414286159,0,0.161762461736318,0,0,0.0599648379257914,0,0.098618739410185,0,0.0379321019487162,9999,0.124364509900192,1.21113893331628
GTEX-11EM3-1126-SM-5A5KM,0,0.292352141332037,0,0,0.116061985819978,0,0.0804772520478036,0,0,0.38344927083453,0,0.121544907323152,0,0.00611444264250007,9999,0.128775744042462,1.1674016569758
GTEX-11EQ9-1126-SM-5987I,0,0.288842471820759,0,0,0.183318252935983,0,0.148805407099737,0,0,0.177333169471645,0,0.201700698671876,0,0,9999,0.0972219445926679,1.22020170501461
GTEX-11GS4-1026-SM-5N9DE,0,0.203545649337742,0,0,0.255487214275995,0,0.102396417969203,0,0,0.0948958149353739,0.0736341589103168,0.170979945816762,0,0.0990607987546078,9999,0.132875053256036,1.20892080650525
GTEX-11GSO-0226-SM-5A5LV,0,0.189365819722497,0,0.0733037308317552,0.220692304640758,0,0.0993451128744301,0,0,0.122008220768063,0.0625902848926981,0.115890831955818,0,0.11680369431398,9999,0.11161793882084,1.2090221830735
GTEX-11GSP-1026-SM-9WYSH,0,0.213632852739568,0,0.0127894660942798,0.243623734527643,0,0.026474004793128,0,0,0.097706733245387,0.0739253322220337,0.195571878277751,0,0.136275998100209,9999,0.137995974913113,1.21513235097864
GTEX-11I78-0226-SM-5HL6R,0.00421868633367416,0.162850622289401,0,0,0.0901046097038934,0,0.152930591595237,0,0,0.243883146395504,0.0391045218477796,0.22471859013715,0,0.0821892316973609,9999,0.109248545251525,1.2096431861337
GTEX-11LCK-0326-SM-5A5M7,0,0.147198825107333,0,0,0.1418434761142,0,0.119371117124235,0,0,0.186460357220148,0.0860909411422965,0.237702835552007,0,0.0813324477397808,9999,0.11858746163874,1.21121151279435
GTEX-11NUK-2026-SM-5PNVZ,0,0.301561172905092,0,0,0.306094746398817,0,0.114829376921882,0,0,0.0822953113942243,0,0.142708174142702,0.0222347638068533,0.0302764544304288,9999,0.113037541058961,1.2240181926231
GTEX-11NV4-1426-SM-5BC4W,0,0.239576613282019,0,0,0.377641719417679,0,0.140781119406715,0,0,0.0606327675001774,0.0237298962102668,0.157637884183143,0,0,9999,0.141059719662045,1.19840486306953
GTEX-11O72-1426-SM-GI4XK,0,0.239389204233246,0,0,0.27073056092844,0,0.0623163803524245,0,0,0.125890800545096,0.0190032111951885,0.254913915470309,0,0.0277559272752964,9999,0.117360978458259,1.22556674818722
GTEX-11OF3-0826-SM-5BC51,0,0.254846535611216,0,0.0209830954654654,0.209491453289038,0,0.0556348001762507,0,0,0.109254743623373,0.101220041200586,0.142475250057391,0,0.106094080576681,9999,0.123984882674522,1.2141079386739
GTEX-11P7K-0826-SM-5BC5F,0,0.237780243683217,0,0,0.206019417963977,0,0.153978997573791,0,0,0.119003964214266,0.0585517216478572,0.110365809484854,0,0.114299845432039,9999,0.107663489734648,1.21409461069985
GTEX-11P81-0726-SM-5PNYH,0,0.178004211427741,0,0.0186881861089924,0.161393198646318,0,0.141667720325159,0,0,0.165031866319452,0.0809421598811273,0.17635299977582,0,0.0779196575153895,9999,0.117750819916124,1.20513132099735
GTEX-11P82-0326-SM-5HL51,0,0.265340665675026,0,0,0.186103643856501,0,0.0975428693200764,0,0,0.221594250959781,0,0.229418570188616,0,0,9999,0.104393924178007,1.21509822087149
GTEX-11PRG-1526-SM-5HL6Z,0,0.341540255758559,0,0.020997456250062,0.209905178726147,0,0.144190808097363,0,0,0.105982501891035,0.00955902454813568,0.15315381258611,0,0.0146709621425888,9999,0.110582592960593,1.21704860993852
GTEX-11TT1-1926-SM-5PNYN,0,0.265577233742097,0,0,0.17170336681949,0,0.137681055725221,0,0,0.285093261307096,0,0.139945082406095,0,0,9999,0.105475160989501,1.19196266232446
GTEX-11VI4-1226-SM-5EQMP,0,0.210473265657009,0,0,0.325567955695529,0,0.0716150521974622,0,0,0.182772156203488,0,0.162597947758985,0.0318573872941506,0.0151162351933754,9999,0.0989156055943117,1.22175026395807
GTEX-11WQK-1526-SM-5EGKN,0,0.256114279734385,0,0,0.23322664165665,0,0.139971629535235,0,0,0.170356572599549,0,0.172403225971428,0,0.0279276505027523,9999,0.139756935371928,1.18945902544272
GTEX-11XUK-1726-SM-5GU61,0,0.172963568386569,0,0,0.126103323191723,0,0.119854341324547,0,0,0.189136707690225,0.0767495977976236,0.233368375620168,0,0.0818240859891444,9999,0.112046630121806,1.21579904821792
GTEX-11ZTS-1326-SM-5EQMA,0,0.358522395972173,0,0.0132410937774689,0.167407406056683,0,0.0492791899208393,0,0,0.110987076322078,0.0739032246714996,0.122792708826475,0,0.103866904452783,9999,0.170280949734365,1.18475525065372
GTEX-11ZU8-0426-SM-GHWP7,0,0.330750270874845,0.0291113827098284,0.00884640774350769,0.123947123522639,0,0.067456245120572,0,0,0.0746782810013701,0.105233736449544,0.110048975038428,0,0.149927577539266,9999,0.208544189816222,1.15983366902262
