var1	var2	r
inflammation_cytokines	inflammation_cytokines	1
inflammation_cytokines	macrophage_markers	0.34646331392940977
inflammation_cytokines	fibrosis	0.406749127097323
inflammation_cytokines	senescence	0.4318880159005098
inflammation_cytokines	review:tgfb_alk7_axis	-0.07331821982942927
inflammation_cytokines	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.630420849581062
inflammation_cytokines	ADRB2	-0.2478932755248671
inflammation_cytokines	ADRB3	-0.10696750587210418
inflammation_cytokines	TGFB1	0.3199262661204334
inflammation_cytokines	ACVR1C	-0.3955209407709929
inflammation_cytokines	TNF	0.7302578836079012
inflammation_cytokines	IKBKE	0.26439495746301206
inflammation_cytokines	TBK1	0.18796360424108205
inflammation_cytokines	PDE3B	-0.3049177232076433
inflammation_cytokines	adipocyte	-0.4337751108074642
inflammation_cytokines	aspc	0.19191961309326921
inflammation_cytokines	endothelial	0.005424261473334881
inflammation_cytokines	macrophage	-0.1314141102597213
inflammation_cytokines	t_cell	0.07853154915936247
inflammation_cytokines	nk_cell	-0.05178756171630492
inflammation_cytokines	mast_cell	NA
macrophage_markers	inflammation_cytokines	0.34646331392940977
macrophage_markers	macrophage_markers	1
macrophage_markers	fibrosis	0.5783271604496216
macrophage_markers	senescence	0.5012811631411176
macrophage_markers	review:tgfb_alk7_axis	0.37659034729003676
macrophage_markers	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.42031218095130735
macrophage_markers	ADRB2	-0.12878501310229806
macrophage_markers	ADRB3	-0.0363170933835838
macrophage_markers	TGFB1	0.43365982467097935
macrophage_markers	ACVR1C	-0.045376736972432975
macrophage_markers	TNF	0.3177481982123876
macrophage_markers	IKBKE	0.6084807171454673
macrophage_markers	TBK1	0.009739331406359747
macrophage_markers	PDE3B	0.10325330600952731
macrophage_markers	adipocyte	-0.04589293971704234
macrophage_markers	aspc	0.14568298825018489
macrophage_markers	endothelial	-0.19817292478853668
macrophage_markers	macrophage	0.3275409096498166
macrophage_markers	t_cell	0.03006919896761855
macrophage_markers	nk_cell	-0.1820689728811908
macrophage_markers	mast_cell	NA
fibrosis	inflammation_cytokines	0.406749127097323
fibrosis	macrophage_markers	0.5783271604496216
fibrosis	fibrosis	1
fibrosis	senescence	0.6126736868156353
fibrosis	review:tgfb_alk7_axis	0.24831850333274202
fibrosis	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.3486874520823271
fibrosis	ADRB2	-0.44184444099609166
fibrosis	ADRB3	-0.1646114404951399
fibrosis	TGFB1	0.5967443285583516
fibrosis	ACVR1C	-0.3407157927752473
fibrosis	TNF	0.3385863443402023
fibrosis	IKBKE	0.5793839668411013
fibrosis	TBK1	-0.02753393593231664
fibrosis	PDE3B	-0.1878544749666438
fibrosis	adipocyte	-0.3673616795718362
fibrosis	aspc	0.5645035496968164
fibrosis	endothelial	-0.3245048763336488
fibrosis	macrophage	0.10197892714213717
fibrosis	t_cell	0.03442580206735576
fibrosis	nk_cell	-0.16476200902139554
fibrosis	mast_cell	NA
senescence	inflammation_cytokines	0.4318880159005098
senescence	macrophage_markers	0.5012811631411176
senescence	fibrosis	0.6126736868156353
senescence	senescence	1
senescence	review:tgfb_alk7_axis	0.13957442756295627
senescence	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.42577444496400124
senescence	ADRB2	-0.29665506605776865
senescence	ADRB3	-0.30313811188648654
senescence	TGFB1	0.5727779906062598
senescence	ACVR1C	-0.4288699215654908
senescence	TNF	0.2756627911064338
senescence	IKBKE	0.3678289016560199
senescence	TBK1	0.17437461301659016
senescence	PDE3B	-0.38648754322481427
senescence	adipocyte	-0.5052630321783105
senescence	aspc	0.5322015741516437
senescence	endothelial	-0.2423411016753171
