var1	var2	r
inflammation_cytokines	inflammation_cytokines	1
inflammation_cytokines	macrophage_markers	0.5691702360671698
inflammation_cytokines	fibrosis	0.31549694132041034
inflammation_cytokines	senescence	0.13629863581102658
inflammation_cytokines	review:tgfb_alk7_axis	0.35828411811938626
inflammation_cytokines	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.7195532213443977
inflammation_cytokines	ADRB2	0.10457302263151722
inflammation_cytokines	ADRB3	0.17021108842329588
inflammation_cytokines	TGFB1	0.2198852970063759
inflammation_cytokines	ACVR1C	0.2099091595932321
inflammation_cytokines	TNF	0.6860810336485582
inflammation_cytokines	IKBKE	0.029760059822406242
inflammation_cytokines	TBK1	0.28653993619267104
inflammation_cytokines	PDE3B	0.25966372173980534
inflammation_cytokines	adipocyte	0.17895639924904486
inflammation_cytokines	aspc	-0.2944583202156014
inflammation_cytokines	endothelial	-0.16575121486989863
inflammation_cytokines	macrophage	0.24549429628645958
inflammation_cytokines	t_cell	0.0399681100853353
inflammation_cytokines	nk_cell	-0.07015586162708977
inflammation_cytokines	mast_cell	NA
macrophage_markers	inflammation_cytokines	0.5691702360671698
macrophage_markers	macrophage_markers	1
macrophage_markers	fibrosis	0.5743930484159665
macrophage_markers	senescence	0.28916467337376955
macrophage_markers	review:tgfb_alk7_axis	0.584198982676089
macrophage_markers	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.6577161718148217
macrophage_markers	ADRB2	-0.03259201311703723
macrophage_markers	ADRB3	0.15033048630814178
macrophage_markers	TGFB1	0.5335613045366829
macrophage_markers	ACVR1C	0.16723862380858528
macrophage_markers	TNF	0.4140787762995306
macrophage_markers	IKBKE	0.3605769359222734
macrophage_markers	TBK1	0.31298371138541725
macrophage_markers	PDE3B	0.26980206595309214
macrophage_markers	adipocyte	0.12660265293663261
macrophage_markers	aspc	-0.2025045397024844
macrophage_markers	endothelial	-0.39970560105814623
macrophage_markers	macrophage	0.5759831182400009
macrophage_markers	t_cell	0.05776883521010137
macrophage_markers	nk_cell	-0.23043166804236087
macrophage_markers	mast_cell	NA
fibrosis	inflammation_cytokines	0.31549694132041034
fibrosis	macrophage_markers	0.5743930484159665
fibrosis	fibrosis	1
fibrosis	senescence	0.4306739925553354
fibrosis	review:tgfb_alk7_axis	0.4275005798142066
fibrosis	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.42216956820072316
