gene_symbol	keep	source	flag_ensg	flag_linc	flag_krt	flag_has_dash	notes
DPEP1	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
STRA6	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
TMEM196	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
MUCL1	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
GJB2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
TOMM40P2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
SCG2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
SFRP2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
DACT2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
CACNA1B	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
TMPRSS2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
TTC36	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
LINGO2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
KRT223P	TRUE	GTEx_approach1_v1	FALSE	FALSE	TRUE	FALSE	
LINC01013	TRUE	GTEx_approach1_v1	FALSE	TRUE	FALSE	FALSE	
CEMIP	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
C9orf152	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
ENSG00000287979	FALSE	GTEx_approach1_v1	TRUE	FALSE	FALSE	FALSE	auto: drop ENSG placeholder
POU2F3	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
NNAT	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
KRT14	TRUE	GTEx_approach1_v1	FALSE	FALSE	TRUE	FALSE	
LINC01152	TRUE	GTEx_approach1_v1	FALSE	TRUE	FALSE	FALSE	
SERPINB7	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
FOLH1	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
DMP1	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
HBA2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
PCSK9	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
PPFIA4	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
ENSG00000277128	FALSE	GTEx_approach1_v1	TRUE	FALSE	FALSE	FALSE	auto: drop ENSG placeholder
KRT81	TRUE	GTEx_approach1_v1	FALSE	FALSE	TRUE	FALSE	
PROK2	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
KRT7-AS	TRUE	GTEx_approach1_v1	FALSE	FALSE	TRUE	TRUE	
CNGA3	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
S100A12	TRUE	GTEx_approach1_v1	FALSE	FALSE	FALSE	FALSE	
